geo;TIME_PERIOD;OBS_VALUE
AL;1990;76.59
AL;1991;69.82
AL;1992;56.08
AL;1993;53.49
AL;1994;54.88
AL;1995;49.57
AL;1996;45.49
AL;1997;41.5
AL;1998;45.36
AL;1999;59.42
AL;2000;59.93
AL;2001;62.16
AL;2002;64.46
AL;2003;65.74
AL;2004;66.7
AL;2005;67.73
AL;2006;65.55
AL;2007;65.76
AL;2008;64.61
AL;2009;63.89
AL;2010;63.72
AL;2011;61.9
AL;2012;58.34
AL;2013;57.6
AL;2014;62.06
AL;2015;60.6
AL;2016;58.89
AL;2017;62.8
AL;2018;60.76
AL;2019;60.33
AL;2020;58.08
AL;2021;57.16
AL;2022;56.48
AT;1990;80.28
AT;1991;80.29
AT;1992;78.63
AT;1993;78.2
AT;1994;78.8
AT;1995;79.2
AT;1996;79.63
AT;1997;79.77
AT;1998;79.8
AT;1999;77.89
AT;2000;77.9
AT;2001;78.33
AT;2002;78.89
AT;2003;80.08
AT;2004;79.79
AT;2005;78.49
AT;2006;76.22
AT;2007;74.15
AT;2008;73.62
AT;2009;71.76
AT;2010;72.18
AT;2011;71.14
AT;2012;68.8
AT;2013;68.18
AT;2014;67
AT;2015;67.65
AT;2016;67.96
AT;2017;68.55
AT;2018;68.31
AT;2019;69.24
AT;2020;66.96
AT;2021;66.42
AT;2022;65.76
AT;2023;64.35
BA;2014;88.1
BA;2015;86.13
BA;2016;89.21
BA;2017;90.62
BA;2018;81.84
BA;2019;79.61
BA;2020;80.54
BA;2021;80
BA;2022;78.9
BE;1990;78.84
BE;1991;79.32
BE;1992;78.94
BE;1993;79.01
BE;1994;80.38
BE;1995;80.11
BE;1996;80.4
BE;1997;79.13
BE;1998;80.3
BE;1999;78.97
BE;2000;79.26
BE;2001;79.04
BE;2002;78.65
BE;2003;79.57
BE;2004;79.28
BE;2005;78.83
BE;2006;78.4
BE;2007;77.86
BE;2008;78.54
BE;2009;77.82
BE;2010;78.22
BE;2011;76.15
BE;2012;76.38
BE;2013;75.91
BE;2014;77.19
BE;2015;79.63
BE;2016;75.52
BE;2017;76.04
BE;2018;79.65
BE;2019;76.46
BE;2020;76.49
BE;2021;73.62
BE;2022;73.89
BE;2023;75.41
BG;1990;84.35
BG;1991;82.9
BG;1992;83.16
BG;1993;82.67
BG;1994;80.57
BG;1995;79.46
BG;1996;78.03
BG;1997;77.3
BG;1998;76.52
BG;1999;74.96
BG;2000;72.75
BG;2001;73.52
BG;2002;70.95
BG;2003;74.64
BG;2004;74.51
BG;2005;73.68
BG;2006;73.24
BG;2007;78.26
BG;2008;76.41
BG;2009;74
BG;2010;74.1
