country,group,flat,structured,moved
Austria,Core,Exposed,Winners,  <-- moved
Belgium,Core,At risk,Winners,  <-- moved
Denmark,Core,Exposed,Winners,  <-- moved
Finland,Core,Exposed,Winners,  <-- moved
Germany,Core,Exposed,Winners,  <-- moved
Sweden,Core,Exposed,Winners,  <-- moved
Ireland,Finance,At risk,Low-stakes,  <-- moved
Luxembourg,Finance,At risk,Winners,  <-- moved
Cyprus,Periphery,Low-stakes,At risk,  <-- moved
France,Periphery,Exposed,Winners,  <-- moved
Greece,Periphery,Low-stakes,At risk,  <-- moved
Italy,Periphery,Exposed,Winners,  <-- moved
Portugal,Periphery,Exposed,Low-stakes,  <-- moved
Spain,Periphery,Exposed,Winners,  <-- moved
Bulgaria,Workbench,Low-stakes,At risk,  <-- moved
Croatia,Workbench,Low-stakes,At risk,  <-- moved
Czechia,Workbench,Winners,Exposed,  <-- moved
Estonia,Workbench,Low-stakes,At risk,  <-- moved
Hungary,Workbench,Low-stakes,At risk,  <-- moved
Latvia,Workbench,Low-stakes,At risk,  <-- moved
Lithuania,Workbench,Low-stakes,At risk,  <-- moved
Poland,Workbench,Winners,Exposed,  <-- moved
Romania,Workbench,Winners,At risk,  <-- moved
Slovakia,Workbench,Low-stakes,At risk,  <-- moved
Malta,Finance,At risk,At risk,""
Netherlands,Finance,Exposed,Exposed,""
Slovenia,Workbench,Winners,Winners,""
