country,group,exio_int,eora_int,q_exio,q_eora
Austria,Core,185346.509298759,0.000187345414558062,Winners,Winners
Belgium,Core,235179.40752241,0.00025516049480626,Winners,Winners
Bulgaria,Workbench,995492.996148601,0.000958307250741866,At risk,At risk
Cyprus,Periphery,702552.679951602,0.000542207715307403,At risk,At risk
Czechia,Workbench,622073.139519418,0.000688934520147039,Exposed,Exposed
Germany,Core,276019.329360128,0.000258861569071203,Winners,Winners
Denmark,Core,245774.097985658,0.000170889110166178,Winners,Winners
Spain,Periphery,248416.965030497,0.000249136949526317,Winners,Winners
Estonia,Workbench,679292.10540966,0.00133932493650126,At risk,At risk
Finland,Core,238970.397096718,0.000494694577593914,Winners,Winners
France,Periphery,153804.113330004,0.00017117884141072,Winners,Winners
Greece,Periphery,845986.734346224,0.000503135681133212,At risk,At risk
Croatia,Workbench,400765.25368048,0.000592020003042716,At risk,At risk
Hungary,Workbench,451334.058883392,0.000485370804041355,At risk,At risk
Ireland,Finance,203769.407368662,0.000212924120255353,At risk,At risk
Italy,Periphery,205994.137556599,0.000242203957550711,Winners,Winners
Lithuania,Workbench,431896.076646836,0.000576049109634464,At risk,At risk
Luxembourg,Finance,148545.121009456,0.000235528881877304,Winners,Winners
Latvia,Workbench,401496.033338773,0.000477950734224244,At risk,At risk
Malta,Finance,255910.862897675,0.000272254872103092,At risk,At risk
Netherlands,Finance,264369.455115968,0.000265028189460257,Exposed,Exposed
Poland,Workbench,736627.252153096,0.000805037468471724,Exposed,Exposed
Portugal,Periphery,299560.400398421,0.000315705318886995,Low-stakes,Low-stakes
Romania,Workbench,462050.989441323,0.000526612345731352,At risk,At risk
Slovakia,Workbench,408968.025926724,0.000422777610942169,Low-stakes,Low-stakes
Slovenia,Workbench,357752.9148119,0.000445638686049035,Winners,Winners
Sweden,Core,91167.1809653394,0.000136220706690773,Winners,Winners
