country,year,PrimaryEnergyProduction,FinalEnergyConsumption,Exports,Imports,NetTrade
AUT,1990,94623.139,208914.111,14226.259,217102.238,-202875.979
AUT,1991,97489.75,225737.683,14117.666,223735.716,-209618.05
AUT,1992,99956.123,220061.112,15339.434,222236.429,-206896.995
AUT,1993,102442.643,224114.636,18497.768,219544.766,-201046.998
AUT,1994,98181.856,218885.179,22243.056,221059.753,-198816.697
AUT,1995,102123.494,229092.04,21413.25,232724.924,-211311.674
AUT,1996,101010.969,248958.967,23506.166,258739.594,-235233.428
AUT,1997,101310.644,243008.557,27050.383,253896.633,-226846.25
AUT,1998,103311.633,250415.877,30867.487,271114.965,-240247.478
AUT,1999,113464.729,253227.268,34614.294,257629.006,-223014.712
AUT,2000,113968.667,253652.508,34710.448,257635.137,-222924.689
AUT,2001,114088.552,270081.312,40326.768,273681.196,-233354.428
AUT,2002,114343.454,272699.87,41149.851,286624.814,-245474.963
AUT,2003,110296.162,288433.569,45139.1,314801.478,-269662.378
AUT,2004,114472.673,292038.019,51571.637,326613.679,-275042.042
AUT,2005,115000.477,299177.947,47084.289,334195.315,-287111.026
AUT,2006,120117.244,299861.858,38614.345,330282.635,-291668.29
AUT,2007,127362.837,294655.557,45452.897,317176.391,-271723.494
AUT,2008,129911.943,295215.104,48449.491,323384.3,-274934.809
AUT,2009,136122.98,287061.657,48748.58,296037.923,-247289.343
AUT,2010,140909.11,301900.998,47955.359,302444.038,-254488.679
AUT,2011,133067.706,291829.955,47535.014,322952.128,-275417.114
AUT,2012,149512.976,293091.452,54067.142,304362.953,-250295.811
AUT,2013,144142.792,300071.161,51555.857,294758.024,-243202.167
AUT,2014,143246.035,287970.408,53741.713,305130.863,-251389.15
AUT,2015,142212.451,296274.35,58172.866,295111.273,-236938.407
AUT,2016,146122.161,303536.854,57474.653,304551.683,-247077.03
AUT,2017,146950.549,308227.334,61484.878,320411.019,-258926.141
AUT,2018,139905.043,302873.54,64236.713,318399.078,-254162.365
AUT,2019,144400.713,304957.451,65538.201,355183.793,-289645.592
AUT,2020,144337.437,289272.208,63977.956,283791.016,-219813.06
AUT,2021,147404.884,307153.373,62652.917,269012.198,-206359.281
AUT,2022,142176.158,290654.357,48203.319,329637.011,-281433.692
AUT,2023,150830.864,277558.99,57428.044,281928.344,-224500.3
BEL,1990,144453.168,330464.804,242177.206,704627.013,-462449.807
BEL,1991,142454.291,348200.881,250846.398,744216.681,-493370.283
BEL,1992,141805.192,350916.864,252496.813,757689.333,-505192.52
BEL,1993,134081.333,347129.988,240106.721,725723.177,-485616.456
BEL,1994,130191.972,353682.831,243363.669,774883.91,-531520.241
BEL,1995,133976.111,363532.757,227397.258,773818.834,-546421.576
BEL,1996,139479.444,387137.413,257003.393,833692.568,-576689.175
BEL,1997,151858.5,379346.273,259782.835,829106.364,-569323.529
BEL,1998,148870.833,387543.245,262787.786,864199.48,-601411.694
BEL,1999,157988.417,384929.787,277224.738,844906.552,-567681.814
BEL,2000,155851.556,391183.431,291788.861,880655.864,-588867.003
BEL,2001,152206.944,410456.527,276583.838,878593.482,-602009.644
BEL,2002,154456.722,390902.842,291812.333,866355.897,-574543.564
BEL,2003,157051.722,404664.778,289087.042,908065.235,-618978.193
BEL,2004,158679.602,401739.863,311922.588,937041.964,-625119.376
BEL,2005,160885.648,397733.874,318269.933,940196.969,-621927.036
BEL,2006,159783.248,392256.715,301858.75,920136.39,-618277.64
BEL,2007,167270.605,378222.053,312098.801,909854.227,-597755.426
