year,origin,destination,GWP
2013,AT,AT,52412573855.9493
2013,AT,AU,304198515.340201
2013,AT,BE,331713732.260603
2013,AT,BG,81394997.6870023
2013,AT,BR,319970061.108312
2013,AT,CA,399547941.490037
2013,AT,CH,1039493598.7518
2013,AT,CN,1123114286.13135
2013,AT,CY,14379769.2668266
2013,AT,CZ,459320992.410327
2013,AT,DE,4938360385.02093
2013,AT,DK,162044724.287135
2013,AT,EE,16170533.957574
2013,AT,ES,431457731.627584
2013,AT,FI,116864611.599447
2013,AT,FR,1314891163.24792
2013,AT,GB,930908185.807791
2013,AT,GR,103736154.726592
2013,AT,HR,181400387.017362
2013,AT,HU,630377674.981721
2013,AT,ID,122037281.734656
2013,AT,IE,110828433.597512
2013,AT,IN,302782589.662282
2013,AT,IT,1964481098.97235
2013,AT,JP,462939333.16725
2013,AT,KR,269552889.174687
2013,AT,LT,28411867.5652861
2013,AT,LU,32670740.1628022
2013,AT,LV,12722600.9422083
2013,AT,MT,5231387.24254906
2013,AT,MX,199276709.83852
2013,AT,NL,417783457.762194
2013,AT,NO,213818340.383085
2013,AT,PL,437448730.405333
2013,AT,PT,81021545.1229705
2013,AT,RO,291918930.724906
2013,AT,RU,809344175.195245
2013,AT,SE,292592315.571662
2013,AT,SI,334534692.799587
2013,AT,SK,271447775.918879
2013,AT,TR,344821888.231762
2013,AT,TW,620590781.541892
2013,AT,US,1633417354.40207
2013,AT,WA,1018324717.04602
2013,AT,WE,391600384.770072
2013,AT,WF,638091205.951744
2013,AT,WL,506180980.828499
2013,AT,WM,1083230245.57542
2013,AT,ZA,78366795.5663978
2013,AU,AT,442937387.584681
2013,AU,AU,392962485533.538
2013,AU,BE,813999397.792444
2013,AU,BG,106828241.586627
2013,AU,BR,1995212096.94656
2013,AU,CA,2208556726.06654
2013,AU,CH,999038618.792008
2013,AU,CN,50301453278.3449
2013,AU,CY,37657101.6634141
2013,AU,CZ,461363504.007983
2013,AU,DE,3079088886.95204
2013,AU,DK,316622417.609659
2013,AU,EE,34158652.3895206
2013,AU,ES,982891605.289661
2013,AU,FI,324282110.491792
2013,AU,FR,2356959552.71823
2013,AU,GB,3820365359.99188
2013,AU,GR,200342328.26321
2013,AU,HR,50647363.9329634
2013,AU,HU,173195297.509728
2013,AU,ID,8494754032.85872
2013,AU,IE,288893049.137706
2013,AU,IN,11284518853.2516
2013,AU,IT,2109232455.57502
2013,AU,JP,26646525207.0717
2013,AU,KR,11781902228.8059
2013,AU,LT,44914834.5217707
2013,AU,LU,87123439.0713287
2013,AU,LV,34948515.6981364
2013,AU,MT,14302341.4631599
2013,AU,MX,1125440324.61991
2013,AU,NL,1697553915.14773
2013,AU,NO,579555197.711588
2013,AU,PL,538453103.425402
2013,AU,PT,204823104.958762
2013,AU,RO,159566825.185492
2013,AU,RU,4223880795.64679
2013,AU,SE,535617720.053995
2013,AU,SI,74019214.5541046
2013,AU,SK,138774296.350639
2013,AU,TR,1517121491.49994
2013,AU,TW,1561673083.44453
2013,AU,US,17387611598.3733
2013,AU,WA,31185841063.7182
2013,AU,WE,646861458.554486
2013,AU,WF,3518241999.55922
2013,AU,WL,3164247650.32345
2013,AU,WM,14751973103.4012
2013,AU,ZA,519356431.109044
2013,BE,AT,472047478.166962
2013,BE,AU,545499645.766619
2013,BE,BE,66721729402.7737
2013,BE,BG,77072467.8678937
2013,BE,BR,724199535.494693
2013,BE,CA,646652435.67862
2013,BE,CH,1024937021.45558
2013,BE,CN,2690249464.62366
2013,BE,CY,29592685.851352
2013,BE,CZ,302750302.296084
2013,BE,DE,6318575112.43222
