year,region,GWP_pba,GWP_Imports,GWP_Exports,ValueAdded_pba,Employment_pba,emissions_complete
2013,AT,78287388552.5276,60117870062.4103,25874814696.5783,313148.239865666,4148.4020062334,TRUE
2013,AU,605985812796.564,183682506838.888,213023327263.027,1138053.32962635,11555.040995006,TRUE
2013,BE,117619035674.746,110715762749.094,50897306271.9724,376722.067837855,4548.7809967922,TRUE
2013,BG,51515327857.9774,16701634053.8503,22044219002.4816,36156.6470521149,2944.91400432687,TRUE
2013,BR,1144959855356.11,244781285047.916,230916782864.904,1744386.30350332,91019.4209589929,TRUE
2013,CA,725232755744.521,216270567658.259,306993217012.186,1361648.83378953,18258.8759980092,TRUE
2013,CH,65369151358.1725,130654492374.962,26362195254.4833,521534.823538337,4433.04230711389,TRUE
2013,CN,11940582255997.2,1132614004863.51,2799335971363.12,6793555.11225869,752004.418999966,TRUE
2013,CY,12814000505.8837,5220299083.5644,3558913743.0964,16736.5869137065,532.717994320645,TRUE
2013,CZ,123130862807.655,45593968688.1797,50539334172.4061,149582.424836507,4930.30506816974,TRUE
2013,DE,999112691916.48,472935445703.712,332726485613.048,2737738.01630188,40133.2940039973,TRUE
2013,DK,79367614762.0205,39607423090.5824,48635902798.814,246839.927587376,2643.74799802741,TRUE
2013,EE,19464688288.4787,7398210538.28543,10119885847.4541,17646.8849695029,621.702010380184,TRUE
2013,ES,328185975662.448,143219212085.84,93559915727.8853,998252.500163624,17391.9690043465,TRUE
2013,FI,68490828152.7696,40563511271.3882,28618328634.3449,191898.537841448,2466.97400755189,TRUE
2013,FR,476892499399.925,308933632423.881,139057106551.674,2040563.05298929,27345.2709980998,TRUE
2013,GB,592282793699.538,376652715107.77,143363779970.304,2028145.18356408,30274.9429992481,TRUE
2013,GR,165168495443.253,36597677737.0586,54302683446.092,171602.182800616,3490.0910070001,TRUE
2013,HR,23243330940.8927,14193396492.613,5806038944.78799,42236.6740098475,1517.42599507225,TRUE
2013,HU,58671519822.7335,40132460216.5438,26711427558.7569,93704.5841818612,4068.10119199964,TRUE
2013,ID,783019853919.852,165750591824.401,169974855826.166,679477.061315582,118716.606995146,TRUE
2013,IE,73563649285.9043,32540509816.2681,33170580090.2115,166610.554304248,1938.65899991451,TRUE
2013,IN,2909293210081.4,357028101140.334,495141256898.525,1403962.74677562,447178.372002934,TRUE
2013,IT,427312787761.372,269830219563.278,86833472279.854,1561487.62169342,22243.8020148942,TRUE
2013,JP,1401076521966.56,546765654793.806,239258921359.183,3859109.61421415,63109.0480014971,TRUE
2013,KR,709315451000.679,272822889113.049,283479110083.966,948137.730676464,25430.0640047011,TRUE
2013,LT,23703725241.756,13555788835.0804,10094523031.2921,33971.4723608405,1291.91900972652,TRUE
2013,LU,9634625598.5859,11791407184.0195,6697101536.64288,47077.1093553055,248.260010355121,TRUE
2013,LV,14096043469.9952,9563354816.55609,5725632098.90546,20933.9810991055,898.911010258419,TRUE
2013,MT,3229457364.66837,3418829742.80944,1984482110.75623,7270.48184145681,184.861001662394,TRUE
2013,MX,647416488453.411,195557845095.248,156039812611.624,991930.857526532,48976.1759940444,TRUE
2013,NL,211005605089.709,165028625831.382,103231788306.059,642137.176349766,8712.25899806795,TRUE
2013,NO,73309145282.8892,60312559126.6813,38757399224.6995,387447.727431039,2643.27700167443,TRUE
2013,PL,382539895278.362,76227286496.9612,114907224540.187,376063.652012663,16479.8860050203,TRUE
2013,PT,62525375878.7477,31141479578.2515,21068937728.3317,162615.255684648,4427.7759952841,TRUE
2013,RO,98861552695.0952,30865861661.5004,31148231154.9169,134512.237103395,7888.8670023939,TRUE
2013,RU,2038009002591.66,291617985556.258,786158640546.003,1668509.48619246,72106.5330060106,TRUE
2013,SE,55914875746.6933,66297341534.3944,22644522214.4741,425305.218986248,4681.01400609275,TRUE
2013,SI,17618307134.9823,11984968059.2241,7689305255.93751,32491.7768910761,910.165991870675,TRUE
2013,SK,39287972642.3906,28894828100.2513,20342266033.3827,69874.4277815078,2327.63499984097,TRUE
2013,TR,437866899629.517,175519445425.911,95843090054.3645,678962.6146075,26406.6739980769,TRUE
2013,TW,320173443110.839,98477695259.5114,129031936851.735,352653.808168495,11258.8389935672,TRUE
2013,US,6233218482951.47,1568657712661.59,771120951316.241,12527715.0405645,149907.77800509,TRUE
2013,WA,2943052938961.4,1635240614816.3,1108499272227.05,2460553.39968089,389592.106133923,TRUE
2013,WE,558599981923.553,139910456631.762,260706062395.705,305060.928935254,35033.7513440009,TRUE
2013,WF,2041611785289.84,446276675485.125,403003788265.053,1397514.63536328,381070.699379142,TRUE
2013,WL,1411964735857.03,484379627449.189,373306315445.458,1986579.09085923,126946.352947859,TRUE
2013,WM,2713809702115.66,768868339170.305,1128160204084.1,2408868.3682835,96935.1200996909,TRUE
2013,ZA,492596450157.172,43361533469.206,111806984018.718,290156.34573216,16537.1118769949,TRUE
2014,AT,74515300379.4605,58692284580.9582,24135569978.3164,322947.344149185,4157.71901627083,TRUE
2014,AU,618159587772.061,172080207379.539,223394788754.04,1080779.84160681,11641.773004924,TRUE
2014,BE,110456006172.463,112326542745.935,44597863199.932,390938.362386216,4560.03299109172,TRUE
2014,BG,53448584794.8426,19590001291.0198,27207741728.4136,38988.3953388539,2976.24101059337,TRUE
2014,BR,1177521255305.45,235814820247.115,222130098298.993,1739967.36926147,92220.0919940001,TRUE
2014,CA,735487937256.188,215436140410.181,330107620405.677,1323153.04752835,18321.6590037821,TRUE
2014,CH,65835615609.1608,111490985872.725,28933571312.1678,536139.205803515,4511.31000077583,TRUE
2014,CN,12031393882487.3,1173536411302.86,2643960985664.78,7467947.9815256,752969.096848924,TRUE
2014,CY,13063781598.4161,5066551175.33189,4040897784.20943,15478.2127006481,545.811996674824,TRUE
2014,CZ,120117848056.95,48413257320.4661,58299511168.0304,145183.717587527,4969.22499915912,TRUE
2014,DE,949807301446.12,476184745154.097,312790023013.622,2850089.70112052,40533.7149999976,TRUE
2014,DK,77242380852.7649,41909782079.9177,49800612212.1018,255413.665552784,2670.6950020077,TRUE
2014,EE,18599145223.5445,8189856984.25046,10317596745.8429,19021.7901514084,625.672995124015,TRUE
2014,ES,327492437172.024,147380615615.652,88224315285.9722,1002562.83216861,17612.6860030347,TRUE
2014,FI,64303102910.5102,38533152747.4881,22668633364.6171,197294.235203921,2449.57900511376,TRUE
2014,FR,444447873696.571,307676001050.036,137316227647.911,2086280.93725369,27153.3669930034,TRUE
2014,GB,551727928774.47,379665160310.98,149073236523.297,2236074.66198161,30995.3400024558,TRUE
2014,GR,160113597007.421,41468254658.1726,57213822290.2513,165018.581746408,3493.45399999982,TRUE
2014,HR,22361056682.5766,11381990703.7865,6219193557.24461,41041.4447998067,1555.13798975478,TRUE
2014,HU,58598922184.8298,43855974246.6841,24903163386.8835,94636.8785309122,4282.26699425597,TRUE
2014,ID,824782864094.997,154678556366.517,175203874935.238,659972.028217698,120558.124010123,TRUE
2014,IE,73514153595.6519,39455525859.4297,31644749370.8199,183240.213902041,1990.44905489823,TRUE
2014,IN,3098820296357.12,338776659861.188,509092748593.03,1498951.34026349,454974.745996061,TRUE
2014,IT,405576461833.058,269549206403.62,88083558426.0905,1571333.55394694,22243.8509992649,TRUE
2014,JP,1350273398568.83,549253820819.667,270773936418.286,3617846.1240955,63585.3719954791,TRUE
2014,KR,697487475903.941,280239069221.697,257919716826.699,1027271.99125175,26172.9010044146,TRUE
2014,LT,23734677395.6131,12893296686.3546,10530747404.8381,35887.2924299152,1318.56799649653,TRUE
2014,LU,9207065473.05579,12045160916.2223,6523697411.42376,49669.4702777809,256.630004158525,TRUE
2014,LV,13854842155.475,11543719940.3334,5838556360.1406,22276.7260866543,896.749063277903,TRUE
2014,MT,3295969783.40079,3618140901.23831,2118465866.36373,8156.8055590932,192.075980294161,TRUE
2014,MX,634752539753.188,189768030222.676,141470405225.148,1017007.18068162,49406.1299950054,TRUE
2014,NL,202385814063.652,161071883687.034,104662162314.194,648193.110593659,8672.76099804463,TRUE
2014,NO,72528310292.547,50666253444.3748,40700445747.8084,367790.901487078,2659.45599846915,TRUE
2014,PL,366787945879.468,84344291065.5025,106472747927.223,391939.350615525,16850.9299959593,TRUE
2014,PT,62065512256.3995,31205153300.0472,20184230494.4155,163900.887425515,4499.9539987508,TRUE
2014,RO,98884688107.9922,28954692512.0832,32514699439.5576,140715.267120924,7946.88000440079,TRUE
2014,RU,2024991201152.38,250921131259.072,841949011458.582,1487299.06942173,72147.2079990279,TRUE
2014,SE,54227162384.4278,65620666891.318,22702844714.649,419443.608002163,4725.31499713858,TRUE
2014,SI,16173943246.2951,10287855253.5688,7213744739.70312,34784.3843960811,917.52600196306,TRUE
2014,SK,36593665034.0057,32064367178.1834,16979968831.9169,69600.9542893658,2425.09100959116,TRUE
2014,TR,465512010579.054,183141089575.003,106414469941.987,664068.14879931,26893.359007095,TRUE
2014,TW,326031788169.747,90451434548.8878,123383878094.155,362662.800325263,11358.8019932668,TRUE
2014,US,6263345112914.32,1587339394291.49,795873362369.176,13072130.618281,152777.147001387,TRUE
2014,WA,2979265985896.42,1611094370244.98,1089512780422.43,2574123.57673578,396033.111560446,TRUE
2014,WE,514159125754.867,114887013864.011,258684333490.784,272458.293176393,34621.9682683696,TRUE
2014,WF,2090551902523.27,441666722422.049,357762584293.59,1491439.84921126,388475.148446329,TRUE
2014,WL,1413579763744.4,443646290772.081,385744074770.932,1958185.37696876,128829.122670743,TRUE
2014,WM,2794879127045.48,790554054151.072,1119644749928.09,2379983.2754328,99343.7609943906,TRUE
2014,ZA,505124260275.864,38038154864.243,131532724261.568,270840.539751962,16746.3100033227,TRUE
2015,AT,75445921936.9586,55106166621.5721,27188639161.5251,327794.217186662,4202.32700079731,TRUE
2015,AU,617010281252.27,165214390118.158,208861983309.908,1104233.04634584,11873.1270011101,TRUE
2015,BE,115740421768.076,111320813066.588,49096188184.3931,400605.879002089,4571.25200184017,TRUE
2015,BG,57137399952.095,18031117363.4751,33363920371.5285,42309.1738069733,3043.45599926248,TRUE
2015,BR,1158535948812.65,181807579800.152,240406095423.243,1513149.66805857,91999.370007006,TRUE
2015,CA,731506553570.426,206466492206.25,334521829319.483,1373376.4783581,18469.8079990271,TRUE
2015,CH,69105131801.9363,124218696992.888,29676252918.1788,618875.017037126,4580.43399397544,TRUE
2015,CN,11865186775326.6,1189903312041.02,2701101417959.27,9267120.90956369,753540.648001993,TRUE
2015,CY,13031955176.9091,4970135933.37232,4193235844.04427,16776.9856029899,558.618006611551,TRUE
2015,CZ,121792914542.333,49407711775.4424,60347706458.9766,163344.264305176,5026.91100575126,TRUE
2015,DE,946776634524.111,458602143279.309,333647091000.358,2950647.16425222,40919.0679979991,TRUE
2015,DK,77513182887.5428,39259533452.3856,47171219977.6854,263293.602439909,2718.02600032968,TRUE
2015,EE,16427012114.8749,7194688459.45673,8042288716.37517,19894.7524667811,638.733999949861,TRUE
2015,ES,337592075576.907,140201496875.524,90182797877.6228,1050875.71155267,18132.0460010018,TRUE
2015,FI,60526771413.6927,33763356006.1941,23119101585.3628,194945.342326068,2440.79401100096,TRUE
2015,FR,450070686621.876,300515543620.493,136533892944.191,2135651.45486285,27188.0120200185,TRUE
2015,GB,536095269101.71,389565851317.863,142768384410.259,2558205.12905434,31566.9240210064,TRUE
2015,GR,157390206214.991,36808051621.2451,64707212522.7639,166802.624796733,3554.3299933635,TRUE
2015,HR,22857384370.1534,13449785903.2993,7549959852.83672,43236.5305296271,1576.41300102453,TRUE
2015,HU,61567748268.7828,39548147807.6014,28577604327.1969,97928.826990179,4406.44001513359,TRUE
2015,ID,822760199131.604,145495058445.674,181984391476.165,764415.146022358,121554.894003907,TRUE
2015,IE,75277924772.0558,37704401868.6865,40777934294.2677,240124.314443897,2059.34298723771,TRUE
2015,IN,3145268588982.11,394142285747.91,445058670037.484,1877596.42991361,462550.053014131,TRUE
2015,IT,412979161022.59,280119946771.148,84244855739.2991,1615359.20126126,22392.0349998068,TRUE
2015,JP,1310585354775.33,500159740428.94,244826450971.813,3931237.39444704,63766.9620087922,TRUE
2015,KR,709968343062.811,288560127164.969,215684076088.537,1202185.7261457,26538.6290088367,TRUE
2015,LT,24457114823.0746,13900744985.9276,10452599768.8715,36075.843884075,1333.73698463634,TRUE
2015,LU,8776995314.9938,11939581665.3867,5832973849.14727,50989.6434014523,265.17299917707,TRUE
2015,LV,14014800873.6674,11550622412.35,5487110403.9541,22414.1756389537,908.410005194892,TRUE
