iso3,country,ECI,GCI,GCP,diversity
DEU,Germany,2.07410561891263,3.86905805239876,2.50849070083035,1901
ITA,Italy,1.1612694226542,3.1320933297172,3.25248142744354,2103
AUT,Austria,1.60392960658097,2.77206966401504,2.08312242387431,1486
DNK,Denmark,1.02118451543919,2.46607421730061,1.58558592273011,1320
CZE,Czechia,1.7186648939002,2.36275187363535,1.69226206955784,1237
FRA,France,1.39620496168095,2.11839670786075,2.3892540362179,1670
POL,Poland,1.03245090869052,1.94508251269308,1.9057170049386,1412
SWE,Sweden,1.7254091342697,1.89778703472002,1.29711746489144,1108
HUN,Hungary,1.4352884776507,1.81045261180838,0.841832485783244,886
ESP,Spain,0.756633344222951,1.61936691933217,2.7240985755337,1876
SVN,Slovenia,1.47576282701812,1.60768601203668,1.31777753294295,1071
FIN,Finland,1.60450823641832,1.51865392061393,0.790944817681599,883
ROU,Romania,0.841668655371665,1.46334368505753,1.03538341223845,998
HRV,Croatia,0.700885849656782,1.39069606996053,1.00524750682515,1018
EST,Estonia,0.868058181354673,1.27527901048065,0.970108258034765,993
SVK,Slovakia,1.35260416484495,1.16743112795993,0.690286763911335,811
PRT,Portugal,0.382610430433912,1.14375703178679,1.64994137091895,1385
BGR,Bulgaria,0.438423560555346,1.08120110446885,1.29737836461602,1204
LTU,Lithuania,0.633577853968975,0.911500614432809,1.14207579103909,1097
LVA,Latvia,0.648321002228573,0.784451740063472,0.962168899418885,1019
NLD,Netherlands,1.22622537097243,0.68180602789502,1.98911720722914,1530
BEL,Belgium,1.41808607101812,0.573396102977048,1.73992555149362,1374
LUX,Luxembourg,1.42965167816991,0.459813767235479,0.497481125766138,745
GRC,Greece,0.177124192432501,-0.102100327286385,0.415987412759028,814
MLT,Malta,0.88829810030807,-0.164620268324788,-0.443094612277878,348
IRL,Ireland,1.23256631094717,-0.185124189579329,-0.217035365097393,460
CYP,Cyprus,0.322304800782307,-0.303876890781838,-0.0457834367102706,589
