iso2,iso3,year,applications,grants
AT,AUT,1990,57,35
AT,AUT,1991,43,37
AT,AUT,1992,57,46
AT,AUT,1993,61,45
AT,AUT,1994,59,39
AT,AUT,1995,59,48
AT,AUT,1996,66,50
AT,AUT,1997,68,41
AT,AUT,1998,75,46
AT,AUT,1999,68,39
AT,AUT,2000,63,36
AT,AUT,2001,91,63
AT,AUT,2002,91,52
AT,AUT,2003,94,59
AT,AUT,2004,91,54
AT,AUT,2005,71,43
AT,AUT,2006,95,49
AT,AUT,2007,137,78
AT,AUT,2008,142,87
AT,AUT,2009,176,93
AT,AUT,2010,171,102
AT,AUT,2011,198,132
AT,AUT,2012,237,153
AT,AUT,2013,230,156
AT,AUT,2014,224,152
AT,AUT,2015,224,161
AT,AUT,2016,227,135
AT,AUT,2017,197,120
AT,AUT,2018,209,93
AT,AUT,2019,268,91
AT,AUT,2020,321,56
AT,AUT,2021,205,13
AT,AUT,2022,17,0
BE,BEL,1990,22,19
BE,BEL,1991,20,14
BE,BEL,1992,22,16
BE,BEL,1993,23,18
BE,BEL,1994,39,27
BE,BEL,1995,30,18
BE,BEL,1996,40,25
BE,BEL,1997,55,32
BE,BEL,1998,63,25
BE,BEL,1999,71,35
BE,BEL,2000,84,37
BE,BEL,2001,90,43
BE,BEL,2002,90,49
BE,BEL,2003,90,32
BE,BEL,2004,94,44
BE,BEL,2005,111,52
BE,BEL,2006,141,69
BE,BEL,2007,138,64
BE,BEL,2008,201,100
BE,BEL,2009,153,81
BE,BEL,2010,200,113
BE,BEL,2011,203,113
BE,BEL,2012,237,132
BE,BEL,2013,204,120
BE,BEL,2014,201,134
BE,BEL,2015,191,122
BE,BEL,2016,223,125
BE,BEL,2017,198,93
BE,BEL,2018,225,107
BE,BEL,2019,209,59
BE,BEL,2020,211,45
BE,BEL,2021,162,8
BE,BEL,2022,16,0
BG,BGR,1990,1,0
BG,BGR,1997,1,1
BG,BGR,1998,2,0
BG,BGR,1999,1,1
BG,BGR,2000,1,1
BG,BGR,2001,1,0
BG,BGR,2002,1,1
BG,BGR,2003,3,1
BG,BGR,2004,3,0
BG,BGR,2006,3,1
BG,BGR,2008,1,1
BG,BGR,2009,3,1
BG,BGR,2010,2,1
BG,BGR,2011,2,1
BG,BGR,2012,5,2
BG,BGR,2013,4,1
BG,BGR,2014,6,4
BG,BGR,2015,3,3
BG,BGR,2016,5,5
BG,BGR,2017,4,2
BG,BGR,2018,1,0
BG,BGR,2019,4,1
BG,BGR,2020,7,0
BG,BGR,2021,4,1
CY,CYP,1992,1,1
CY,CYP,1994,2,2
CY,CYP,1996,1,1
CY,CYP,1998,1,0
CY,CYP,2000,3,2
CY,CYP,2001,2,0
CY,CYP,2002,4,0
CY,CYP,2003,1,1
CY,CYP,2004,3,1
CY,CYP,2005,3,1
CY,CYP,2006,6,0
CY,CYP,2007,4,1
CY,CYP,2008,5,0
CY,CYP,2009,13,9
CY,CYP,2010,5,2
CY,CYP,2011,3,2
CY,CYP,2012,5,0
CY,CYP,2013,1,0
CY,CYP,2014,5,2
CY,CYP,2015,3,1
CY,CYP,2016,3,2
CY,CYP,2017,1,0
CY,CYP,2018,1,1
CY,CYP,2019,1,1
CY,CYP,2020,5,0
CY,CYP,2021,3,0
CZ,CZE,1990,1,1
CZ,CZE,1992,3,1
CZ,CZE,1994,2,2
CZ,CZE,1995,2,1
CZ,CZE,1996,4,3
CZ,CZE,1997,5,4
CZ,CZE,1998,4,1
CZ,CZE,1999,4,2
CZ,CZE,2000,7,5
CZ,CZE,2001,2,2
CZ,CZE,2002,4,2
CZ,CZE,2003,2,1
CZ,CZE,2004,9,6
CZ,CZE,2005,11,7
CZ,CZE,2006,6,4
CZ,CZE,2007,13,6
CZ,CZE,2008,17,12
CZ,CZE,2009,15,8
CZ,CZE,2010,12,7
CZ,CZE,2011,13,7
CZ,CZE,2012,20,6
CZ,CZE,2013,12,8
CZ,CZE,2014,12,7
CZ,CZE,2015,19,14
CZ,CZE,2016,15,7
CZ,CZE,2017,18,8
CZ,CZE,2018,16,8
CZ,CZE,2019,21,5
CZ,CZE,2020,24,6
CZ,CZE,2021,23,1
CZ,CZE,2022,5,0
DE,DEU,1990,567,400
DE,DEU,1991,512,361
DE,DEU,1992,688,490
DE,DEU,1993,656,483
DE,DEU,1994,745,547
DE,DEU,1995,700,494
DE,DEU,1996,703,541
DE,DEU,1997,836,584
DE,DEU,1998,953,638
DE,DEU,1999,1014,701
DE,DEU,2000,1264,827
DE,DEU,2001,1411,873
DE,DEU,2002,1409,909
DE,DEU,2003,1411,857
DE,DEU,2004,1452,925
DE,DEU,2005,1471,935
DE,DEU,2006,1751,1074
DE,DEU,2007,1999,1219
DE,DEU,2008,2348,1477
DE,DEU,2009,2498,1516
DE,DEU,2010,2981,1747
DE,DEU,2011,3305,2038
DE,DEU,2012,3229,2107
DE,DEU,2013,2837,1872
DE,DEU,2014,2633,1782
DE,DEU,2015,2508,1648
DE,DEU,2016,2427,1473
DE,DEU,2017,2653,1529
DE,DEU,2018,2812,1314
DE,DEU,2019,2846,933
DE,DEU,2020,2883,465
DE,DEU,2021,2144,88
DE,DEU,2022,296,4
DE,DEU,2023,3,0
DK,DNK,1990,15,14
DK,DNK,1991,25,22
DK,DNK,1992,24,21
DK,DNK,1993,18,10
DK,DNK,1994,30,21
DK,DNK,1995,42,29
DK,DNK,1996,30,19
DK,DNK,1997,42,27
DK,DNK,1998,25,16
DK,DNK,1999,63,40
DK,DNK,2000,70,36
DK,DNK,2001,77,44
DK,DNK,2002,72,42
DK,DNK,2003,121,71
DK,DNK,2004,103,66
DK,DNK,2005,116,72
DK,DNK,2006,137,85
DK,DNK,2007,148,91
DK,DNK,2008,224,138
DK,DNK,2009,264,169
DK,DNK,2010,290,211
DK,DNK,2011,320,237
DK,DNK,2012,355,240
DK,DNK,2013,270,182
DK,DNK,2014,289,202
DK,DNK,2015,310,216
DK,DNK,2016,322,223
DK,DNK,2017,427,267
DK,DNK,2018,479,215
DK,DNK,2019,563,195
DK,DNK,2020,554,64
DK,DNK,2021,528,4
DK,DNK,2022,29,1
ES,ESP,1990,7,4
ES,ESP,1991,11,4
ES,ESP,1992,13,3
ES,ESP,1993,14,7
ES,ESP,1994,13,8
ES,ESP,1995,18,9
ES,ESP,1996,14,9
ES,ESP,1997,26,15
ES,ESP,1998,28,13
ES,ESP,1999,35,18
ES,ESP,2000,39,18
ES,ESP,2001,40,23
ES,ESP,2002,51,25
ES,ESP,2003,43,25
ES,ESP,2004,49,23
ES,ESP,2005,74,28
ES,ESP,2006,130,42
ES,ESP,2007,131,49
ES,ESP,2008,155,52
ES,ESP,2009,168,69
ES,ESP,2010,229,95
ES,ESP,2011,193,92
ES,ESP,2012,175,100
ES,ESP,2013,208,124
ES,ESP,2014,168,109
ES,ESP,2015,176,108
ES,ESP,2016,168,97
ES,ESP,2017,168,82
ES,ESP,2018,197,81
ES,ESP,2019,218,64
ES,ESP,2020,205,30
ES,ESP,2021,277,5
ES,ESP,2022,44,0
ES,ESP,2023,2,0
EE,EST,1999,1,1
EE,EST,2002,1,1
EE,EST,2005,1,0
EE,EST,2007,2,2
EE,EST,2008,2,2
EE,EST,2009,5,4
EE,EST,2010,5,1
EE,EST,2011,10,6
EE,EST,2012,1,1
