hs2007,medium,friends,pegs,apec,core_cleg,core_cleg_plus
380210,WAT,FALSE,TRUE,FALSE,FALSE,TRUE
390940,HEM,FALSE,TRUE,FALSE,FALSE,FALSE
392010,SWM,TRUE,TRUE,FALSE,FALSE,FALSE
392030,HEM,FALSE,TRUE,FALSE,FALSE,FALSE
392111,HEM,FALSE,TRUE,FALSE,FALSE,FALSE
392113,HEM,FALSE,TRUE,FALSE,FALSE,FALSE
392510,REP,FALSE,TRUE,FALSE,FALSE,FALSE
400259,SWM,FALSE,TRUE,FALSE,FALSE,FALSE
441872,EPP,FALSE,FALSE,TRUE,FALSE,FALSE
450410,NVA,TRUE,TRUE,FALSE,FALSE,FALSE
450490,HEM,FALSE,TRUE,FALSE,FALSE,FALSE
530310,EPP,TRUE,FALSE,FALSE,FALSE,FALSE
530500,EPP,TRUE,FALSE,FALSE,FALSE,FALSE
540500,HEM,FALSE,TRUE,FALSE,FALSE,FALSE
560314,WAT,TRUE,TRUE,FALSE,FALSE,FALSE
560721,EPP,TRUE,FALSE,FALSE,FALSE,FALSE
560790,EPP,TRUE,FALSE,FALSE,FALSE,FALSE
560811,NRP,TRUE,FALSE,FALSE,FALSE,FALSE
560890,NRP,TRUE,FALSE,FALSE,FALSE,FALSE
630510,EPP,TRUE,FALSE,FALSE,FALSE,FALSE
680610,HEM,FALSE,TRUE,FALSE,FALSE,FALSE
680690,HEM,FALSE,TRUE,FALSE,FALSE,FALSE
680800,HEM,FALSE,TRUE,FALSE,FALSE,FALSE
681011,HEM,FALSE,TRUE,FALSE,FALSE,FALSE
681019,HEM,FALSE,TRUE,FALSE,FALSE,FALSE
681091,HEM,FALSE,TRUE,FALSE,FALSE,FALSE
691010,WAT,TRUE,FALSE,FALSE,FALSE,FALSE
700800,HEM,FALSE,TRUE,FALSE,FALSE,FALSE
700991,REP,FALSE,TRUE,FALSE,FALSE,FALSE
700992,REP,FALSE,TRUE,FALSE,FALSE,FALSE
701931,HEM,TRUE,TRUE,FALSE,FALSE,FALSE
701939,HEM,FALSE,TRUE,FALSE,FALSE,FALSE
730210,CRE,FALSE,TRUE,FALSE,FALSE,FALSE
730230,CRE,FALSE,TRUE,FALSE,FALSE,FALSE
730240,CRE,FALSE,TRUE,FALSE,FALSE,FALSE
730290,CRE,FALSE,TRUE,FALSE,FALSE,FALSE
730300,WAT,TRUE,FALSE,FALSE,FALSE,TRUE
730431,WAT,TRUE,FALSE,FALSE,FALSE,TRUE
730490,WAT,TRUE,FALSE,FALSE,FALSE,TRUE
730630,WAT,TRUE,FALSE,FALSE,FALSE,TRUE
730690,WAT,TRUE,FALSE,FALSE,FALSE,TRUE
730820,REP,TRUE,TRUE,FALSE,FALSE,FALSE
730890,REP,FALSE,TRUE,FALSE,FALSE,FALSE
730900,WAT,TRUE,FALSE,FALSE,FALSE,TRUE
731010,WAT,TRUE,FALSE,FALSE,FALSE,TRUE
731029,WAT,TRUE,FALSE,FALSE,FALSE,TRUE
732111,CRE,TRUE,TRUE,FALSE,FALSE,FALSE
732119,REP,FALSE,TRUE,FALSE,FALSE,FALSE
732189,REP,FALSE,TRUE,FALSE,FALSE,FALSE
732190,CRE,TRUE,TRUE,FALSE,FALSE,FALSE
732490,WAT,TRUE,FALSE,FALSE,FALSE,TRUE
732510,WAT,TRUE,FALSE,FALSE,FALSE,FALSE
732690,WAT,TRUE,FALSE,FALSE,FALSE,FALSE
761090,REP,FALSE,TRUE,FALSE,FALSE,FALSE
761100,REP,TRUE,TRUE,FALSE,FALSE,FALSE
761290,SWM,TRUE,FALSE,FALSE,FALSE,TRUE
830630,REP,FALSE,TRUE,FALSE,FALSE,FALSE
840219,SWM,TRUE,FALSE,FALSE,FALSE,FALSE
840290,SWM,TRUE,FALSE,TRUE,FALSE,FALSE
840410,APC,TRUE,FALSE,TRUE,FALSE,TRUE
840420,APC,TRUE,FALSE,TRUE,FALSE,TRUE
840490,APC,TRUE,FALSE,TRUE,FALSE,FALSE
840510,APC,TRUE,TRUE,FALSE,FALSE,TRUE
840681,REP,TRUE,TRUE,FALSE,FALSE,FALSE
840682,REP,TRUE,TRUE,FALSE,FALSE,FALSE
840690,REP,TRUE,TRUE,TRUE,FALSE,FALSE
840991,NVA,TRUE,TRUE,FALSE,FALSE,FALSE
840999,NVA,TRUE,TRUE,FALSE,FALSE,FALSE
841011,REP,TRUE,TRUE,FALSE,FALSE,FALSE
841012,REP,FALSE,TRUE,FALSE,FALSE,FALSE
841013,REP,FALSE,TRUE,FALSE,FALSE,FALSE
841090,REP,TRUE,TRUE,FALSE,FALSE,FALSE
841181,REP,TRUE,TRUE,FALSE,FALSE,FALSE
841182,REP,TRUE,TRUE,TRUE,FALSE,FALSE
841199,REP,FALSE,FALSE,TRUE,FALSE,FALSE
841280,REP,FALSE,TRUE,FALSE,FALSE,FALSE
841290,REP,FALSE,TRUE,TRUE,FALSE,FALSE
841320,WAT,TRUE,FALSE,FALSE,FALSE,FALSE
841350,WAT,TRUE,FALSE,FALSE,FALSE,FALSE
841360,WAT,TRUE,FALSE,FALSE,FALSE,FALSE
841370,WAT,TRUE,FALSE,FALSE,FALSE,FALSE
841381,WAT,TRUE,TRUE,FALSE,FALSE,FALSE
841410,APC,TRUE,FALSE,FALSE,FALSE,TRUE
841430,APC,TRUE,FALSE,FALSE,FALSE,FALSE
841440,APC,TRUE,FALSE,FALSE,FALSE,FALSE
841459,APC,TRUE,FALSE,FALSE,FALSE,FALSE
841480,APC,TRUE,FALSE,FALSE,FALSE,FALSE
841490,APC,TRUE,FALSE,FALSE,FALSE,FALSE
841581,REP,TRUE,TRUE,FALSE,FALSE,FALSE
841780,SWM,TRUE,FALSE,TRUE,TRUE,TRUE
841790,SWM,TRUE,FALSE,TRUE,TRUE,TRUE
841861,REP,TRUE,TRUE,FALSE,FALSE,FALSE
841869,REP,TRUE,TRUE,FALSE,FALSE,FALSE
