hs6,is_green,is_renewable,media,n_src_hs2007,src_hs2007
380210,1,0,WAT,1,380210
390940,1,0,HEM,1,390940
392010,1,0,SWM,1,392010
392030,1,0,HEM,1,392030
392111,1,0,HEM,1,392111
392113,1,0,HEM,1,392113
392510,1,1,REP,1,392510
400259,1,0,SWM,1,400259
441830,1,0,EPP,1,441872
450410,1,0,NVA,1,450410
450490,1,0,HEM,1,450490
530310,1,0,EPP,1,530310
530599,1,0,EPP,1,530500
540500,1,0,HEM,1,540500
560300,1,0,WAT,1,560314
560721,1,0,EPP,1,560721
560790,1,0,EPP,1,560790
560811,1,0,NRP,1,560811
560890,1,0,NRP,1,560890
630510,1,0,EPP,1,630510
680610,1,0,HEM,1,680610
680690,1,0,HEM,1,680690
680800,1,0,HEM,1,680800
681011,1,0,HEM,1,681011
681019,1,0,HEM,1,681019
681091,1,0,HEM,1,681091
691010,1,0,WAT,1,691010
700800,1,0,HEM,1,700800
700991,1,1,REP,1,700991
700992,1,1,REP,1,700992
701931,1,0,HEM,1,701931
701939,1,0,HEM,1,701939
730210,1,0,CRE,1,730210
730230,1,0,CRE,1,730230
730240,1,0,CRE,1,730240
730290,1,0,CRE,1,730290
730300,1,0,WAT,1,730300
730431,1,0,WAT,1,730431
730490,1,0,WAT,1,730490
730630,1,0,WAT,1,730630
730690,1,0,WAT,1,730690
730820,1,1,REP,1,730820
730890,1,1,REP,1,730890
730900,1,0,WAT,1,730900
731010,1,0,WAT,1,731010
731029,1,0,WAT,1,731029
732111,1,0,CRE,1,732111
732113,1,1,REP,1,732119
732183,1,1,REP,1,732189
732190,1,0,CRE,1,732190
732490,1,0,WAT,1,732490
732510,1,0,WAT,1,732510
732690,1,0,WAT,1,732690
761090,1,1,REP,1,761090
761100,1,1,REP,1,761100
761290,1,0,SWM,1,761290
830630,1,1,REP,1,830630
840219,1,0,SWM,1,840219
840290,1,0,SWM,1,840290
840410,1,0,APC,1,840410
840420,1,0,APC,1,840420
840490,1,0,APC,1,840490
840510,1,0,APC,1,840510
840619,1,1,REP,2,840681;840682
840690,1,1,REP,1,840690
840991,1,0,NVA,1,840991
840999,1,0,NVA,1,840999
841011,1,1,REP,1,841011
841012,1,1,REP,1,841012
841013,1,1,REP,1,841013
841090,1,1,REP,1,841090
841181,1,1,REP,1,841181
841182,1,1,REP,1,841182
841199,1,1,REP,1,841199
841280,1,1,REP,1,841280
841290,1,1,REP,1,841290
841320,1,0,WAT,1,841320
841350,1,0,WAT,1,841350
841360,1,0,WAT,1,841360
841370,1,0,WAT,1,841370
841381,1,0,WAT,1,841381
841410,1,0,APC,1,841410
841430,1,0,APC,1,841430
841440,1,0,APC,1,841440
841459,1,0,APC,1,841459
841480,1,0,APC,1,841480
841490,1,0,APC,1,841490
841581,1,1,REP,1,841581
841780,1,0,SWM,1,841780
841790,1,0,SWM,1,841790
841861,1,1,REP,1,841861
841869,1,1,REP,1,841869
841919,1,1,REP,1,841919
841939,1,0,WAT,1,841939
841940,1,0,SWM,1,841940
841950,1,0,HEM,1,841950
841960,1,0,APC,1,841960
841989,1,0,WAT,1,841989
841990,1,1,REP,1,841990
842119,1,0,SWR,1,842119
842121,1,0,WAT,1,842121
842129,1,0,WAT,1,842129
842139,1,0,APC,1,842139
842191,1,0,SWR,1,842191
842199,1,0,WAT,1,842199
842220,1,0,SWM,1,842220
842290,1,0,SWM,1,842290
842833,1,0,SWM,1,842833
842940,1,0,SWM,1,842940
846291,1,0,SWM,1,846291
846596,1,0,SWM,1,846596
846599,1,0,SWM,1,846599
