"",CarbonIntensity_normed,EnergyIntensity_normed,ShareFossils_normed,GWP_trade_normed,GWP_normed,EnergyConsumption_normed,GreenPatents_normed,ValueAdded_normed,EnergyProduction_normed,EnergyExports_normed,ShareRenewables_normed,GDP_normed,ECI,GCI,GCP
CarbonIntensity_normed,1,0.675562755196082,0.319990760164337,-0.629577871491349,0.338892128136088,-0.423119033557322,-0.542207860754095,-0.597583772030218,0.104123498664525,0.467123006562731,-0.261422709970021,-0.561709997309589,-0.545669609318638,-0.250271761364063,-0.247477373688149
EnergyIntensity_normed,0.675562755196082,1,0.167437818952507,-0.472185633729993,-0.194214161041221,-0.26422703588007,-0.54508638883055,-0.660827056139212,0.146867736355375,0.481068275536107,-0.212437965979887,-0.599990106724603,-0.250667467270712,0.0260932522950139,-0.0696537466885172
ShareFossils_normed,0.319990760164337,0.167437818952507,1,-0.376387241171766,0.195168779081748,-0.242291407031407,-0.0228122309244753,-0.143605143389399,0.149101790653944,0.405470900070185,-0.627383326183417,-0.12380379576935,-0.0290458366767654,0.200950789204456,0.167619293313944
GWP_trade_normed,-0.629577871491349,-0.472185633729993,-0.376387241171766,1,-0.0326396963401272,0.640248256201297,0.576615434207986,0.693857998449758,-0.238396407314601,-0.876508902404456,0.335322592665116,0.748518189739359,0.378863106627594,-0.099158776620479,-0.114027236941781
GWP_normed,0.338892128136088,-0.194214161041221,0.195168779081748,-0.0326396963401272,1,0.401464952968922,0.287939554052436,0.436263340668735,0.220141969249196,-0.145635289185279,-0.204070513315709,0.436060633908741,-0.000359679319834925,-0.282465171798915,-0.301814861654822
EnergyConsumption_normed,-0.423119033557322,-0.26422703588007,-0.242291407031407,0.640248256201297,0.401464952968922,1,0.739264418399781,0.840440626131599,0.240701603098341,-0.579198062325369,0.0684670583956206,0.835368789386795,0.557174054090037,0.0797002527935848,0.00986267730870805
GreenPatents_normed,-0.542207860754095,-0.54508638883055,-0.0228122309244753,0.576615434207986,0.287939554052436,0.739264418399781,1,0.842375043429454,0.284524496905549,-0.402734697330437,-0.00197234337324952,0.76924068516449,0.48660313209717,0.252164755882911,0.0947056225692423
ValueAdded_normed,-0.597583772030218,-0.660827056139212,-0.143605143389399,0.693857998449758,0.436263340668735,0.840440626131599,0.842375043429454,1,0.0584684068575822,-0.63452432243184,0.0768372144858298,0.976577708424948,0.486733274925561,0.00376626767163611,-0.0110513727401768
EnergyProduction_normed,0.104123498664525,0.146867736355375,0.149101790653944,-0.238396407314601,0.220141969249196,0.240701603098341,0.284524496905549,0.0584684068575822,1,0.417488192321671,-0.497115197335517,-0.0121170560625038,0.387450487066815,0.350969679993647,0.2035951188589
EnergyExports_normed,0.467123006562731,0.481068275536107,0.405470900070185,-0.876508902404456,-0.145635289185279,-0.579198062325369,-0.402734697330437,-0.63452432243184,0.417488192321671,1,-0.394693552327228,-0.698535598589835,-0.249805490877022,0.330255697219689,0.244378110429373
ShareRenewables_normed,-0.261422709970021,-0.212437965979887,-0.627383326183417,0.335322592665116,-0.204070513315709,0.0684670583956206,-0.00197234337324952,0.0768372144858298,-0.497115197335517,-0.394693552327228,1,0.0726502374382212,-0.302524129694267,-0.263545166698748,-0.266853116209154
GDP_normed,-0.561709997309589,-0.599990106724603,-0.12380379576935,0.748518189739359,0.436060633908741,0.835368789386795,0.76924068516449,0.976577708424948,-0.0121170560625038,-0.698535598589835,0.0726502374382212,1,0.491500240133922,-0.0149196560286095,-0.0286314698589519
ECI,-0.545669609318638,-0.250667467270712,-0.0290458366767654,0.378863106627594,-0.000359679319834925,0.557174054090037,0.48660313209717,0.486733274925561,0.387450487066815,-0.249805490877022,-0.302524129694267,0.491500240133922,1,0.57100974027842,0.301697717235538
GCI,-0.250271761364063,0.0260932522950139,0.200950789204456,-0.099158776620479,-0.282465171798915,0.0797002527935848,0.252164755882911,0.00376626767163611,0.350969679993647,0.330255697219689,-0.263545166698748,-0.0149196560286095,0.57100974027842,1,0.775844335002367
GCP,-0.247477373688149,-0.0696537466885172,0.167619293313944,-0.114027236941781,-0.301814861654822,0.00986267730870805,0.0947056225692423,-0.0110513727401768,0.2035951188589,0.244378110429373,-0.266853116209154,-0.0286314698589519,0.301697717235538,0.775844335002367,1
