iso3c,year,GDP_ppp,GDP_real,ShareFossils_GrossAvEn,ShareRenewables_GrossAvEn
AUT,1990,335741807060.191,239296977562.902,80.28,
AUT,1991,347296788649.673,247532687599.64,80.29,
AUT,1992,354567533588.752,252714846186.879,78.63,
AUT,1993,356435428731.764,254046171785.085,78.2,
AUT,1994,364997430895.677,260148662438.995,78.8,
AUT,1995,374735501868.373,267089385643.72,79.2,
AUT,1996,383038769081.157,273007465269.592,79.63,
AUT,1997,391258148130.355,278865754355.301,79.77,
AUT,1998,404924326845.213,288606201307.485,79.8,
AUT,1999,420157274123.406,299463348574.799,77.89,
AUT,2000,433558285667.351,309014799991.68,77.9,
AUT,2001,439268194567.198,313084486617.415,78.33,
AUT,2002,445788555376.4,317731815610.858,78.89,
AUT,2003,450877521564.443,321358930858.678,80.08,
AUT,2004,462443680147.645,329602607197.97,79.79,22.553
AUT,2004,462443680147.645,329602607197.97,79.79,61.627
AUT,2004,462443680147.645,329602607197.97,79.79,20.165
AUT,2004,462443680147.645,329602607197.97,79.79,4.532
AUT,2005,473174062680.29,337250591613.85,78.49,24.353
AUT,2005,473174062680.29,337250591613.85,78.49,62.901
AUT,2005,473174062680.29,337250591613.85,78.49,22.817
AUT,2005,473174062680.29,337250591613.85,78.49,5.07
AUT,2006,488643713155.837,348276446973.261,76.22,26.276
AUT,2006,488643713155.837,348276446973.261,76.22,63.527
AUT,2006,488643713155.837,348276446973.261,76.22,24.491
AUT,2006,488643713155.837,348276446973.261,76.22,7.532
AUT,2007,507091110900.469,361424665131.865,74.15,28.144
AUT,2007,507091110900.469,361424665131.865,74.15,65.666
AUT,2007,507091110900.469,361424665131.865,74.15,27.142
AUT,2007,507091110900.469,361424665131.865,74.15,8.241
AUT,2008,514460694399.747,366677270021.069,73.62,28.788
AUT,2008,514460694399.747,366677270021.069,73.62,65.88
AUT,2008,514460694399.747,366677270021.069,73.62,27.195
AUT,2008,514460694399.747,366677270021.069,73.62,9.56
AUT,2009,496010771713.079,353527252232.556,71.76,31.039
AUT,2009,496010771713.079,353527252232.556,71.76,68.626
AUT,2009,496010771713.079,353527252232.556,71.76,29.626
AUT,2009,496010771713.079,353527252232.556,71.76,11.175
AUT,2010,504983520612.76,359922498957.786,72.18,31.205
AUT,2010,504983520612.76,359922498957.786,72.18,66.361
AUT,2010,504983520612.76,359922498957.786,72.18,30.959
AUT,2010,504983520612.76,359922498957.786,72.18,10.705
AUT,2011,519766751118.867,370459114608.076,71.14,31.552
AUT,2011,519766751118.867,370459114608.076,71.14,66.779
AUT,2011,519766751118.867,370459114608.076,71.14,31.517
AUT,2011,519766751118.867,370459114608.076,71.14,10.077
AUT,2012,523032165874.635,372786509841.892,68.8,32.734
AUT,2012,523032165874.635,372786509841.892,68.8,67.439
AUT,2012,523032165874.635,372786509841.892,68.8,33.077
AUT,2012,523032165874.635,372786509841.892,68.8,10.031
AUT,2013,521720785391.052,371851835102.085,68.18,32.665
AUT,2013,521720785391.052,371851835102.085,68.18,68.909
AUT,2013,521720785391.052,371851835102.085,68.18,33.222
AUT,2013,521720785391.052,371851835102.085,68.18,9.695
AUT,2014,525663946270.995,374662287839.195,67,33.55
AUT,2014,525663946270.995,374662287839.195,67,71.059
AUT,2014,525663946270.995,374662287839.195,67,33.375
AUT,2014,525663946270.995,374662287839.195,67,10.983
AUT,2015,532516097228.437,379546097300.633,67.65,33.497
AUT,2015,532516097228.437,379546097300.633,67.65,71.487
AUT,2015,532516097228.437,379546097300.633,67.65,33.231
AUT,2015,532516097228.437,379546097300.633,67.65,11.409
AUT,2016,543790632789.992,387581921933.047,67.96,33.37
AUT,2016,543790632789.992,387581921933.047,67.96,72.521
AUT,2016,543790632789.992,387581921933.047,67.96,33.48
AUT,2016,543790632789.992,387581921933.047,67.96,10.583
AUT,2017,556146916098.148,396388752620.721,68.55,33.136
AUT,2017,556146916098.148,396388752620.721,68.55,71.626
AUT,2017,556146916098.148,396388752620.721,68.55,33.67
AUT,2017,556146916098.148,396388752620.721,68.55,9.703
AUT,2018,569962833838.475,406235924727.366,68.31,33.784
AUT,2018,569962833838.475,406235924727.366,68.31,74.189
AUT,2018,569962833838.475,406235924727.366,68.31,34.178
AUT,2018,569962833838.475,406235924727.366,68.31,9.931
AUT,2019,579965547379.455,413365269561.549,69.24,33.755
AUT,2019,579965547379.455,413365269561.549,69.24,75.067
AUT,2019,579965547379.455,413365269561.549,69.24,33.929
AUT,2019,579965547379.455,413365269561.549,69.24,10.051
AUT,2020,543321843521.102,387247796564.086,66.96,36.545
AUT,2020,543321843521.102,387247796564.086,66.96,78.204
AUT,2020,543321843521.102,387247796564.086,66.96,34.995
AUT,2020,543321843521.102,387247796564.086,66.96,10.283
AUT,2021,569375914020.088,405817602863.188,66.42,34.792
AUT,2021,569375914020.088,405817602863.188,66.42,73.881
AUT,2021,569375914020.088,405817602863.188,66.42,33.432
AUT,2021,569375914020.088,405817602863.188,66.42,9.568
AUT,2022,599426972430.888,427236226636.132,65.76,34.075
AUT,2022,599426972430.888,427236226636.132,65.76,74.806
AUT,2022,599426972430.888,427236226636.132,65.76,31.293
AUT,2022,599426972430.888,427236226636.132,65.76,10.744
AUT,2023,593702670427.429,423156281454.21,64.35,40.844
AUT,2023,593702670427.429,423156281454.21,64.35,87.764
AUT,2023,593702670427.429,423156281454.21,64.35,39.387
AUT,2023,593702670427.429,423156281454.21,64.35,13.207
BEL,1990,423490894153.98,295130312407.396,78.84,
BEL,1991,431253797354.048,300540270633.774,79.32,
BEL,1992,437854803473.159,305140504133.549,78.94,
BEL,1993,433643196012.819,302205439784.666,79.01,
BEL,1994,447636738517.798,311957523308.047,80.38,
BEL,1995,458311787553.473,319396952585.876,80.11,
BEL,1996,464368067946.494,323617567359.636,80.4,
BEL,1997,481984667229.164,335894554944.544,79.13,
BEL,1998,491440397935.353,342484242694.343,80.3,
BEL,1999,508850745926.657,354617493993.784,78.97,
BEL,2000,527763227856.97,367797580691.145,79.26,
BEL,2001,533566531247.503,371841896085.61,79.04,
BEL,2002,542673946924.042,378188843495.686,78.65,
BEL,2003,548306659836.302,382114274583.92,79.57,
BEL,2004,567887824600.012,395760365571.447,79.28,1.916
BEL,2004,567887824600.012,395760365571.447,79.28,1.714
BEL,2004,567887824600.012,395760365571.447,79.28,2.927
BEL,2004,567887824600.012,395760365571.447,79.28,0.642
BEL,2005,581072691818.538,404948884226.677,78.83,2.325
BEL,2005,581072691818.538,404948884226.677,78.83,2.386
