iso3,year,measure,tech,n_patents
AUT,2010,applications,climate_mitigation,158.3333
AUT,2011,applications,climate_mitigation,180.4167
AUT,2012,applications,climate_mitigation,213.5
AUT,2013,applications,climate_mitigation,207
AUT,2014,applications,climate_mitigation,197.8333
AUT,2015,applications,climate_mitigation,218.1667
AUT,2016,applications,climate_mitigation,204.4167
AUT,2017,applications,climate_mitigation,182.8333
AUT,2018,applications,climate_mitigation,190.8333
AUT,2019,applications,climate_mitigation,259.33331
AUT,2020,applications,climate_mitigation,294.56671
AUT,2021,applications,climate_mitigation,238.8333
AUT,2022,applications,climate_mitigation,120.65
AUT,2023,applications,climate_mitigation,95.5
BEL,2010,applications,climate_mitigation,158.48331
BEL,2011,applications,climate_mitigation,154.0833
BEL,2012,applications,climate_mitigation,180
BEL,2013,applications,climate_mitigation,158
BEL,2014,applications,climate_mitigation,154.6667
BEL,2015,applications,climate_mitigation,151.75
BEL,2016,applications,climate_mitigation,173.4167
BEL,2017,applications,climate_mitigation,145.75
BEL,2018,applications,climate_mitigation,179.8333
BEL,2019,applications,climate_mitigation,175.5833
BEL,2020,applications,climate_mitigation,164.23331
BEL,2021,applications,climate_mitigation,188.9167
BEL,2022,applications,climate_mitigation,132.1667
BEL,2023,applications,climate_mitigation,90.916702
BGR,2010,applications,climate_mitigation,2
BGR,2011,applications,climate_mitigation,2
BGR,2012,applications,climate_mitigation,4
BGR,2013,applications,climate_mitigation,3.25
BGR,2014,applications,climate_mitigation,7
BGR,2015,applications,climate_mitigation,3
BGR,2016,applications,climate_mitigation,5
BGR,2017,applications,climate_mitigation,4
BGR,2018,applications,climate_mitigation,1
BGR,2019,applications,climate_mitigation,2.5
BGR,2020,applications,climate_mitigation,6.5
BGR,2021,applications,climate_mitigation,5.5
BGR,2022,applications,climate_mitigation,3
BGR,2023,applications,climate_mitigation,0
CYP,2010,applications,climate_mitigation,6
CYP,2011,applications,climate_mitigation,4
CYP,2012,applications,climate_mitigation,5
CYP,2013,applications,climate_mitigation,1
CYP,2014,applications,climate_mitigation,2
CYP,2015,applications,climate_mitigation,0
CYP,2016,applications,climate_mitigation,2
CYP,2017,applications,climate_mitigation,0
CYP,2018,applications,climate_mitigation,3
CYP,2019,applications,climate_mitigation,2
CYP,2020,applications,climate_mitigation,5
CYP,2021,applications,climate_mitigation,4
CYP,2022,applications,climate_mitigation,7
CYP,2023,applications,climate_mitigation,3
CZE,2010,applications,climate_mitigation,10.5
CZE,2011,applications,climate_mitigation,12
CZE,2012,applications,climate_mitigation,18
CZE,2013,applications,climate_mitigation,9.5
CZE,2014,applications,climate_mitigation,10.5
CZE,2015,applications,climate_mitigation,17
CZE,2016,applications,climate_mitigation,13.5
CZE,2017,applications,climate_mitigation,16
CZE,2018,applications,climate_mitigation,14.5
CZE,2019,applications,climate_mitigation,19.8333
CZE,2020,applications,climate_mitigation,25
CZE,2021,applications,climate_mitigation,30.3333
CZE,2022,applications,climate_mitigation,14
CZE,2023,applications,climate_mitigation,17
DEU,2010,applications,climate_mitigation,2742.4106
DEU,2011,applications,climate_mitigation,3058.5
DEU,2012,applications,climate_mitigation,3021.9778
DEU,2013,applications,climate_mitigation,2640.488
DEU,2014,applications,climate_mitigation,2482.2
DEU,2015,applications,climate_mitigation,2337.6667
DEU,2016,applications,climate_mitigation,2296.6833
DEU,2017,applications,climate_mitigation,2504.5
DEU,2018,applications,climate_mitigation,2664.1763
DEU,2019,applications,climate_mitigation,2718.3596
DEU,2020,applications,climate_mitigation,2805.957
DEU,2021,applications,climate_mitigation,2599.8999
DEU,2022,applications,climate_mitigation,1377.2
DEU,2023,applications,climate_mitigation,896.16669
DNK,2010,applications,climate_mitigation,289
DNK,2011,applications,climate_mitigation,320.5
DNK,2012,applications,climate_mitigation,332
DNK,2013,applications,climate_mitigation,269
DNK,2014,applications,climate_mitigation,298.33331
DNK,2015,applications,climate_mitigation,292.33331
DNK,2016,applications,climate_mitigation,303
DNK,2017,applications,climate_mitigation,408.83331
DNK,2018,applications,climate_mitigation,470.66669
DNK,2019,applications,climate_mitigation,565
DNK,2020,applications,climate_mitigation,588.58331
DNK,2021,applications,climate_mitigation,639.66669
DNK,2022,applications,climate_mitigation,466
DNK,2023,applications,climate_mitigation,285.5
ESP,2010,applications,climate_mitigation,192.23331
ESP,2011,applications,climate_mitigation,162.6667
ESP,2012,applications,climate_mitigation,153.9167
ESP,2013,applications,climate_mitigation,194.8333
ESP,2014,applications,climate_mitigation,141
ESP,2015,applications,climate_mitigation,156.6667
ESP,2016,applications,climate_mitigation,160
ESP,2017,applications,climate_mitigation,182.6667
ESP,2018,applications,climate_mitigation,275.66669
ESP,2019,applications,climate_mitigation,283.16669
ESP,2020,applications,climate_mitigation,270.8667
ESP,2021,applications,climate_mitigation,359.5
ESP,2022,applications,climate_mitigation,239.23331
ESP,2023,applications,climate_mitigation,173.6667
EST,2010,applications,climate_mitigation,5
EST,2011,applications,climate_mitigation,10
EST,2012,applications,climate_mitigation,1
EST,2013,applications,climate_mitigation,4.5
EST,2014,applications,climate_mitigation,6
EST,2015,applications,climate_mitigation,4
EST,2016,applications,climate_mitigation,6
EST,2017,applications,climate_mitigation,8
EST,2018,applications,climate_mitigation,4
EST,2019,applications,climate_mitigation,3
EST,2020,applications,climate_mitigation,4
EST,2021,applications,climate_mitigation,6
EST,2022,applications,climate_mitigation,2
EST,2023,applications,climate_mitigation,5
FIN,2010,applications,climate_mitigation,183.0667
FIN,2011,applications,climate_mitigation,217.6667
FIN,2012,applications,climate_mitigation,191.5
FIN,2013,applications,climate_mitigation,205
FIN,2014,applications,climate_mitigation,215
FIN,2015,applications,climate_mitigation,194.5
FIN,2016,applications,climate_mitigation,162.3333
FIN,2017,applications,climate_mitigation,178.3333
FIN,2018,applications,climate_mitigation,169.5
FIN,2019,applications,climate_mitigation,202
FIN,2020,applications,climate_mitigation,213.75
FIN,2021,applications,climate_mitigation,216
FIN,2022,applications,climate_mitigation,160.5
FIN,2023,applications,climate_mitigation,73
FRA,2010,applications,climate_mitigation,973.78333
FRA,2011,applications,climate_mitigation,988.08331
FRA,2012,applications,climate_mitigation,1160.9167
FRA,2013,applications,climate_mitigation,1131.7738
FRA,2014,applications,climate_mitigation,1148.8333
FRA,2015,applications,climate_mitigation,1105.0833
FRA,2016,applications,climate_mitigation,1014.6
FRA,2017,applications,climate_mitigation,907.33331
FRA,2018,applications,climate_mitigation,1043.2738
FRA,2019,applications,climate_mitigation,1178.1405
FRA,2020,applications,climate_mitigation,1361.9738
FRA,2021,applications,climate_mitigation,1369.8667
FRA,2022,applications,climate_mitigation,849.59998
FRA,2023,applications,climate_mitigation,401.66669
GRC,2010,applications,climate_mitigation,7
GRC,2011,applications,climate_mitigation,4
GRC,2012,applications,climate_mitigation,8
GRC,2013,applications,climate_mitigation,7
GRC,2014,applications,climate_mitigation,12
GRC,2015,applications,climate_mitigation,3
GRC,2016,applications,climate_mitigation,5
GRC,2017,applications,climate_mitigation,8.8332996
GRC,2018,applications,climate_mitigation,6
GRC,2019,applications,climate_mitigation,8
GRC,2020,applications,climate_mitigation,9.75
GRC,2021,applications,climate_mitigation,8
GRC,2022,applications,climate_mitigation,3
GRC,2023,applications,climate_mitigation,9
HRV,2010,applications,climate_mitigation,5
HRV,2011,applications,climate_mitigation,3
HRV,2012,applications,climate_mitigation,2
