iso3,series,n,population,per_m
AUT,PATSTAT v1 grants,973,8712762,111.67526439951
AUT,OECD grants,670.3333,8712762,76.9369460568302
AUT,OECD applications,994.0833,8712762,114.095082592638
BEL,PATSTAT v1 grants,913,11323377.4,80.6296538345529
BEL,OECD grants,512.0833,11323377.4,45.2235478789217
BEL,OECD applications,805.4167,11323377.4,71.1286634321665
BGR,PATSTAT v1 grants,21,7126147,2.94689402281485
BGR,OECD grants,15,7126147,2.10492430201061
BGR,OECD applications,20,7126147,2.80656573601415
CYP,PATSTAT v1 grants,8,1236685.4,6.4689047028452
CYP,OECD grants,4,1236685.4,3.2344523514226
CYP,OECD applications,7,1236685.4,5.66029161498955
CZE,PATSTAT v1 grants,66,10572420.8,6.24265731080246
CZE,OECD grants,44,10572420.8,4.16177154053497
CZE,OECD applications,71.5,10572420.8,6.76287875336933
DEU,PATSTAT v1 grants,12726,82116112.8,154.975674883627
DEU,OECD grants,8060.1927,82116112.8,98.1560430123039
DEU,OECD applications,12285.2263,82116112.8,149.607986558273
DNK,PATSTAT v1 grants,1748,5722716.8,305.449327843726
DNK,OECD grants,1233.8333,5722716.8,215.602718624832
DNK,OECD applications,1773.16662,5722716.8,309.846997845499
ESP,PATSTAT v1 grants,808,46560153.2,17.3538947891606
ESP,OECD grants,563.1667,46560153.2,12.0954649264341
ESP,OECD applications,916.00009,46560153.2,19.6734767187149
EST,PATSTAT v1 grants,20,1317020.6,15.1857913232337
EST,OECD grants,14,1317020.6,10.6300539262636
EST,OECD applications,28,1317020.6,21.2601078525271
FIN,PATSTAT v1 grants,878,5492017,159.868405359998
FIN,OECD grants,618.5,5492017,112.61800537034
FIN,OECD applications,919.6666,5492017,167.455162647894
FRA,PATSTAT v1 grants,6552,66732162.2,98.1835412490201
FRA,OECD grants,3817.19056,66732162.2,57.2016615999893
FRA,OECD applications,5219.12371,66732162.2,78.2100195458675
GRC,PATSTAT v1 grants,41,10795365.6,3.79792602855433
GRC,OECD grants,16,10795365.6,1.48211747455779
GRC,OECD applications,34.8332996,10795365.6,3.22669012710417
HRV,PATSTAT v1 grants,9,4098074.4,2.19615339340838
HRV,OECD grants,4.16670001,4098074.4,1.01674581847514
HRV,OECD applications,8.66670001,4098074.4,2.11482251517932
HUN,PATSTAT v1 grants,81,9817409.8,8.25064876073524
HUN,OECD grants,35.6667004,9817409.8,3.63300515376266
HUN,OECD applications,62.6667,9817409.8,6.38322136659712
IRL,PATSTAT v1 grants,224,4757947.2,47.0791268974149
IRL,OECD grants,149.999902,4757947.2,31.5261804502581
IRL,OECD applications,250.999904,4757947.2,52.753822909174
ITA,PATSTAT v1 grants,1962,60621137.8,32.3649484520233
ITA,OECD grants,1210.16671,60621137.8,19.9627844992378
ITA,OECD applications,1563.16669,60621137.8,25.7858355472833
LTU,PATSTAT v1 grants,7,2867090.8,2.44149923678734
LTU,OECD grants,5,2867090.8,1.74392802627667
LTU,OECD applications,10.5,2867090.8,3.66224885518101
LUX,PATSTAT v1 grants,160,582444.6,274.704237965293
LUX,OECD grants,99.8333,582444.6,171.403941250378
LUX,OECD applications,139.9999,582444.6,240.366036529483
LVA,PATSTAT v1 grants,8,1960053.6,4.08152103595534
LVA,OECD grants,4.5,1960053.6,2.29585558272488
LVA,OECD applications,8,1960053.6,4.08152103595534
MLT,PATSTAT v1 grants,22,457519.2,48.0854136831853
MLT,OECD grants,18,457519.2,39.3426111953334
MLT,OECD applications,34,457519.2,74.313821146741
NLD,PATSTAT v1 grants,1688,17039633,99.0631664426106
NLD,OECD grants,1197.3333,17039633,70.2675521239219
NLD,OECD applications,1982.33331,17039633,116.336620043401
POL,PATSTAT v1 grants,216,37983562,5.68667046023751
POL,OECD grants,113.5,37983562,2.98813470943036
POL,OECD applications,215.166698,37983562,5.66473197010854
PRT,PATSTAT v1 grants,100,10333742.4,9.67703626906744
PRT,OECD grants,44.25,10333742.4,4.28208854906234
PRT,OECD applications,70.9834,10333742.4,6.86908936301722
ROU,PATSTAT v1 grants,13,19697909.4,0.659968514222124
ROU,OECD grants,5.5,19697909.4,0.279217448324745
ROU,OECD applications,13,19697909.4,0.659968514222124
SVK,PATSTAT v1 grants,43,5431850.2,7.91627132869018
SVK,OECD grants,17,5431850.2,3.129688664831
SVK,OECD applications,27,5431850.2,4.97068199708453
SVN,PATSTAT v1 grants,44,2066167,21.2954712760392
SVN,OECD grants,28.25,2066167,13.6726605351842
SVN,OECD applications,41.75,2066167,20.2064983130599
SWE,PATSTAT v1 grants,1728,9930258.6,174.013595174651
SWE,OECD grants,1270,9930258.6,127.891936268407
SWE,OECD applications,1818.33331,9930258.6,183.110368344285
