n_patents,year,country
245,1990,FR
71,1990,NL
1,1990,TW
9,1990,IE
14,1990,GR
1,1990,CZ
20,1990,BE
532,1990,DE
26,1990,DK
1,1990,IN
17,1990,FI
621,1990,JP
82,1990,IT
2,1990,KR
633,1990,US
4,1990,NO
25,1990,AU
34,1990,CA
45,1990,AT
83,1990,CH
7,1990,HU
38,1990,SE
5,1990,ES
95,1990,GB
6,1991,CN
6,1991,MX
653,1991,US
54,1991,AT
24,1991,AU
101,1991,NL
1,1991,ZA
7,1991,ES
121,1991,GB
5,1991,HU
605,1991,JP
81,1991,IT
8,1991,KR
43,1991,CA
74,1991,CH
35,1991,SE
4,1991,GR
9,1991,NO
1,1991,SI
2,1991,LU
2,1991,TW
2,1991,BR
19,1991,FI
251,1991,FR
14,1991,BE
504,1991,DE
38,1991,DK
5,1992,CN
1,1992,LU
1,1992,CZ
3,1992,ZA
22,1992,NO
3,1992,PT
57,1992,CA
94,1992,CH
3,1992,ES
174,1992,GB
4,1992,HU
77,1992,IT
81,1992,NL
3,1992,PL
68,1992,SE
1,1992,CY
3,1992,RU
718,1992,US
82,1992,AT
27,1992,AU
1,1992,MX
11,1992,GR
4,1992,IE
22,1992,FI
2,1992,HR
1,1992,KR
4,1992,TW
286,1992,FR
19,1992,BE
727,1992,DE
2,1992,IN
36,1992,DK
636,1992,JP
3,1993,IE
13,1993,NO
1,1993,PT
2,1993,LU
4,1993,TW
67,1993,CA
2,1993,BR
11,1993,DK
48,1993,FI
70,1993,AT
47,1993,AU
260,1993,FR
101,1993,NL
2,1993,PL
20,1993,BE
668,1993,DE
66,1993,SE
1,1993,CN
9,1993,RU
795,1993,US
140,1993,CH
12,1993,ES
179,1993,GB
12,1993,HU
759,1993,JP
70,1993,IT
12,1993,KR
3,1993,ZA
110,1994,IT
15,1994,KR
83,1994,SE
3,1994,CY
15,1994,ES
125,1994,GB
854,1994,JP
5,1994,RU
826,1994,US
1,1994,PT
2,1994,CZ
793,1994,DE
30,1994,BE
33,1994,DK
1,1994,IN
2,1994,SK
9,1994,CN
1,1994,ZA
289,1994,FR
1,1994,HR
79,1994,NL
1,1994,PL
42,1994,FI
5,1994,IE
13,1994,TW
55,1994,AU
12,1994,GR
7,1994,LU
11,1994,NO
64,1994,AT
59,1994,CA
111,1994,CH
3,1994,HU
913,1995,US
28,1995,AU
7,1995,RU
85,1995,AT
88,1995,IT
3,1995,ZA
65,1995,NL
21,1995,BE
689,1995,DE
36,1995,DK
3,1995,IN
2,1995,BR
1,1995,CZ
5,1995,CN
7,1995,LU
43,1995,FI
249,1995,FR
26,1995,KR
7,1995,IE
2,1995,PT
6,1995,TW
19,1995,NO
131,1995,CH
10,1995,HU
2,1995,RO
11,1995,ES
152,1995,GB
710,1995,JP
71,1995,CA
92,1995,SE
77,1996,AT
43,1996,AU
1,1996,GR
12,1996,IE
323,1996,FR
76,1996,NL
16,1996,TW
72,1996,CA
134,1996,CH
1,1996,RO
1,1996,CY
118,1996,IT
9,1996,ES
146,1996,GB
18,1996,HU
70,1996,SE
12,1996,CN
9,1996,LU
4,1996,ZA
17,1996,NO
1,1996,PT
1,1996,RU
877,1996,US
25,1996,DK
944,1996,JP
37,1996,FI
31,1996,KR
8,1996,CZ
28,1996,BE
798,1996,DE
2,1996,IN
17,1997,TW
1,1997,GR
5,1997,IE
36,1997,NO
8,1997,LU
81,1997,CA
4,1997,SK
135,1997,CH
18,1997,ES
158,1997,GB
10,1997,HU
8,1997,ZA
1,1997,BG
93,1997,IT
1175,1997,JP
47,1997,KR
6,1997,CZ
3,1997,MX
4,1997,CN
11,1997,RU
925,1997,US
60,1997,AT
35,1997,AU
87,1997,SE
40,1997,BE
816,1997,DE
3,1997,IN
2,1997,BR
36,1997,DK
337,1997,FR
91,1997,NL
33,1997,FI
34,1998,FI
35,1998,BE
1,1998,BR
17,1998,DK
331,1998,FR
111,1998,NL
1,1998,PL
7,1998,TW
