country,CarbonIntensity_normed,EnergyIntensity_normed,CarbonPerEnergy_normed,CarbonIntensityCBA_normed,GWP_cba_normed,ShareFossilsProd_normed,GWP_trade_normed,GWP_normed,EnergyConsumption_normed,GreenPatentsGrants_normed,GreenPatentsApps_normed,ValueAdded_normed,EnergyProduction_normed,EnergyExports_normed,ShareRenewables_normed,GDP_normed,GreenPatents_normed,ShareFossils_normed,ECI,GCI,GCP
Austria,198372.352484667,0.808936192705743,244963.409620448,285440.817918076,12026.3317274614,0.114607403592253,3676.49578054203,8349.83594691935,0.0340750411034656,12.5602589509041,26.2551457934059,0.0421888560783774,0.0162873280651844,-0.0276985350936061,0.832430591128487,63501.5680076093,26.2551457934059,0.67896,1.60182303321713,2.74999643312806,2.06112935785792
Belgium,241330.912801647,0.827503321197207,291367.50670199,373953.068267629,14897.6542339255,0.000153461901818019,5309.69267460522,9587.96155932027,0.0329030947797126,8.69098355750945,14.8743950011514,0.0398719466512697,0.0144764791048051,-0.0490470561866268,0.260950566600449,60474.4906650731,14.8743950011514,0.76452,1.38425801961296,0.525588633249178,1.6693699823926
Bulgaria,949843.147314289,2.09298456575933,450358.929722259,736246.990776013,5696.22176500217,0.411875827612886,-1634.17600769561,7330.39777269778,0.0162999764146764,0.199073853777485,0.560623196034996,0.007928714482737,0.0194502027209585,-0.0118090840655008,0.216509339247784,27440.6165653742,0.560623196034996,0.66854,0.489150659804402,1.15926160498445,1.42241815083428
Cyprus,626757.332315287,0.885551445426868,706474.615593551,645361.200769284,10300.3532444471,0,240.900269182498,10059.4529752646,0.0142364394816218,0.779148543803219,2.15824886616581,0.0162193050949878,0.00180978889044594,-0.0232791451255798,0.970385468087955,31614.6794961454,2.15824886616581,0.9099,0.413768341310195,-0.504970869824556,-0.160657407791213
Czechia,563835.433062147,1.36175146824272,412708.026039605,605065.741408033,11811.5282105428,0.502971617967599,792.751087684952,11018.7771228578,0.0267088187216429,0.902907397826844,1.99139596970287,0.0197364393177008,0.0282919161042011,-0.0180649811436018,0.193606429452987,48568.5175685749,1.99139596970287,0.73392,1.7687282754199,2.51006686789561,1.66645123551787
Germany,249282.565185471,0.69339630480295,358517.39161864,305061.963511019,12293.8378721261,0.363247476803337,2257.82944538044,10036.0084267457,0.0279632635914538,17.2297782267588,32.0282327535301,0.0404125719888334,0.0150136580862448,-0.0276586365383834,0.423156067567688,62482.3960192245,32.0282327535301,0.80152,2.09438275092239,4.01549941313686,2.50662398995036
Denmark,280729.835981564,0.526707144476142,532544.234040802,244778.100478502,12603.344330997,0.605499989114076,-1890.72732174971,14494.0716527467,0.0272141286861922,39.0881520692464,91.8959673369229,0.0518794937672865,0.0244598161269279,-0.0105423897680474,0.361901393046901,66999.4143878004,91.8959673369229,0.62762,1.00989307206032,2.3777771575608,1.70810699994719
Spain,268082.214371889,0.792993384746085,337492.12006155,317360.604757337,7861.31540933649,0.0151122924097639,1223.91189337023,6637.40351596626,0.0196378454926046,1.89357061389401,5.82382657809638,0.0247717258831848,0.00859822432689896,-0.0232508847523146,0.540272229543311,44698.790008969,5.82382657809638,0.73892,0.718563715350009,1.54738264298446,2.8247949919951
Estonia,579606.101145082,1.31363280986245,430560.156020806,554780.16385889,10261.1654068774,0,-385.761313949427,10646.9267208268,0.0246359643423938,1.82070374218616,3.77520873601119,0.0190712332764389,0.0453169983212775,-0.00206052770258099,0.357573382451641,42660.1971554552,3.77520873601119,0.7554,0.974148407748401,1.38074652801063,0.958249374657479
Finland,253587.620955111,1.27613143714798,198050.043080633,307640.727842759,12415.6084078106,0,2184.54407034282,10231.0643374678,0.0516242271181312,14.9724513816711,35.4657780068181,0.0405741203916746,0.0397554706902739,-0.0306582495758328,0.635170446128062,56729.199613422,35.4657780068181,0.4247,1.54054415326646,1.36562854810539,0.742356466549685
France,185190.264838226,0.69547518559216,265914.883013901,254108.471993303,8747.3659567253,0.00690069900254773,2376.91151858773,6370.45443813758,0.0239399763719714,10.7306324118304,17.3833764959172,0.0344651302335883,0.0227128876816009,-0.0197886666481642,0.210627154748075,53315.48849336,17.3833764959172,0.49106,1.37058384065039,1.9706727991034,2.47589929751249
Greece,866098.39833806,1.04682142384266,826290.13389987,792963.804541991,12363.7440291292,0.474949683081664,-1237.65355541314,13601.3975845423,0.0164447263132319,0.13058084450378,0.758956630832987,0.0157414798181295,0.0068537094419314,-0.0199637262290556,0.522269927293346,32492.6093287415,0.758956630832987,0.84192,0.15902573166093,-0.103313363214843,0.544287906714586
Croatia,451073.658441493,1.5467359446458,291081.551086798,643461.776515677,8111.04051000339,0.398254396279234,2373.44718380776,5737.59332619564,0.0197210558958281,0.30099350873894,0.81582660383186,0.0128485466639348,0.0117645666641718,-0.0138102888013111,0.594515045438137,34110.9528718772,0.81582660383186,0.69454,0.759145454537257,1.43603819303576,1.09117614575559
