iso3c,year,population
AUT,2023,9132.383
AUT,2022,9041.851
AUT,2021,8955.797
AUT,2020,8916.864
AUT,2019,8879.92
AUT,2018,8840.521
AUT,2017,8797.566
AUT,2016,8736.668
AUT,2015,8642.699
AUT,2014,8546.356
AUT,2013,8479.823
AUT,2012,8429.991
AUT,2011,8391.643
AUT,2010,8363.404
AUT,2009,8343.323
AUT,2008,8321.496
AUT,2007,8295.487
AUT,2006,8268.641
AUT,2005,8227.829
AUT,2004,8171.966
AUT,2003,8121.423
AUT,2002,8081.957
AUT,2001,8042.293
AUT,2000,8011.566
AUT,1999,7992.324
AUT,1998,7976.789
AUT,1997,7968.041
AUT,1996,7959.017
AUT,1995,7948.278
AUT,1994,7936.118
AUT,1993,7905.633
AUT,1992,7840.709
AUT,1991,7754.891
AUT,1990,7677.85
BEL,2023,11822.592
BEL,2022,11685.814
BEL,2021,11586.195
BEL,2020,11538.604
BEL,2019,11488.98
BEL,2018,11427.054
BEL,2017,11375.158
BEL,2016,11331.422
BEL,2015,11274.196
BEL,2014,11209.057
BEL,2013,11159.407
BEL,2012,11106.932
BEL,2011,11038.264
BEL,2010,10895.586
BEL,2009,10796.493
BEL,2008,10709.973
BEL,2007,10625.7
BEL,2006,10547.958
BEL,2005,10478.617
BEL,2004,10421.137
BEL,2003,10376.133
BEL,2002,10332.785
BEL,2001,10286.57
BEL,2000,10251.25
BEL,1999,10226.419
BEL,1998,10203.008
BEL,1997,10181.245
BEL,1996,10156.637
BEL,1995,10136.811
BEL,1994,10115.603
BEL,1993,10084.475
BEL,1992,10045.158
BEL,1991,10004.486
BEL,1990,9967.379
BGR,2023,6430.37
BGR,2022,6465.097
BGR,2021,6877.743
BGR,2020,6934.015
BGR,2019,6975.761
BGR,2018,7025.037
BGR,2017,7075.947
BGR,2016,7127.822
BGR,2015,7177.991
BGR,2014,7223.938
BGR,2013,7265.115
BGR,2012,7305.888
BGR,2011,7348.328
BGR,2010,7395.599
BGR,2009,7444.443
BGR,2008,7492.561
BGR,2007,7545.338
BGR,2006,7601.022
BGR,2005,7658.972
BGR,2004,7716.86
BGR,2003,7775.327
BGR,2002,7837.161
BGR,2001,8009.142
BGR,2000,8170.172
BGR,1999,8210.624
BGR,1998,8256.786
BGR,1997,8312.068
BGR,1996,8362.826
BGR,1995,8406.067
BGR,1994,8443.591
BGR,1993,8472.313
BGR,1992,8540.164
BGR,1991,8632.367
BGR,1990,8718.289
CYP,2023,1260.138
CYP,2022,1251.488
CYP,2021,1244.188
CYP,2020,1237.537
CYP,2019,1228.836
CYP,2018,1218.831
CYP,2017,1208.523
CYP,2016,1197.881
CYP,2015,1187.28
CYP,2014,1176.995
CYP,2013,1166.968
CYP,2012,1156.556
CYP,2011,1145.086
CYP,2010,1129.686
CYP,2009,1110.974
CYP,2008,1092.39
CYP,2007,1073.873
CYP,2006,1055.438
CYP,2005,1037.062
CYP,2004,1018.684
CYP,2003,1000.35
CYP,2002,982.194
CYP,2001,964.83
CYP,2000,948.237
