year,country,n_applications,n_granted,n_raw_join,n_applicants,n_cpc_matches
1990,AT,57,35,82,44,37
1990,AU,23,17,31,18,22
1990,BE,22,19,24,18,16
1990,BG,1,0,1,1,1
1990,BR,2,0,2,2,2
1990,CA,41,29,61,39,33
1990,CH,109,65,142,74,60
1990,CN,1,0,1,1,1
1990,CZ,1,1,1,1,1
1990,DE,567,400,768,341,144
1990,DK,15,14,29,12,21
1990,ES,7,4,8,8,6
1990,FI,22,14,27,18,23
1990,FR,239,178,330,169,102
1990,GB,133,73,171,102,69
1990,GR,3,3,14,6,5
1990,HU,6,4,9,8,7
1990,IE,4,3,12,5,8
1990,IN,1,1,1,1,1
1990,IT,109,65,149,102,71
1990,JP,565,433,809,301,123
1990,KR,3,2,5,3,5
1990,LU,3,0,7,2,5
1990,MX,1,0,3,1,3
1990,NL,74,53,99,46,47
1990,NO,4,3,5,4,5
1990,PT,1,0,1,1,1
1990,SE,49,32,70,47,41
1990,TW,2,1,2,2,2
1990,US,866,501,1073,479,144
1990,ZA,3,0,3,3,3
1991,AT,43,37,61,42,30
1991,AU,20,15,33,21,19
1991,BE,20,14,28,19,22
1991,BR,3,2,3,3,3
1991,CA,42,30,62,37,27
1991,CH,82,50,121,71,57
1991,CN,4,3,8,7,5
1991,DE,512,361,722,336,142
1991,DK,25,22,41,24,25
1991,ES,11,4,17,12,13
1991,FI,18,14,24,16,18
1991,FR,235,172,332,161,91
1991,GB,155,95,210,118,75
1991,GR,5,4,5,4,3
1991,HU,2,1,6,2,6
1991,IE,2,0,4,2,4
1991,IN,1,0,1,1,1
1991,IT,100,57,149,87,57
1991,JP,551,438,750,314,118
1991,KR,4,4,8,4,8
1991,LU,2,2,2,2,2
1991,MX,3,3,6,2,4
1991,NL,85,65,131,64,55
1991,NO,9,6,12,9,11
1991,SE,46,30,76,49,35
1991,SI,1,1,1,1,1
1991,TW,3,2,3,3,3
1991,US,839,521,1051,483,153
1991,ZA,4,1,4,4,4
1992,AT,57,46,95,52,47
1992,AU,34,21,43,32,22
1992,BE,22,16,28,13,16
1992,CA,53,38,78,42,34
1992,CH,127,82,150,82,62
1992,CN,5,4,9,4,5
1992,CY,1,1,1,1,1
1992,CZ,3,1,3,3,3
1992,DE,688,490,1000,433,147
1992,DK,24,21,39,18,27
1992,ES,13,3,20,17,15
1992,FI,18,15,25,15,21
1992,FR,255,208,349,162,89
1992,GB,162,110,239,116,93
1992,GR,9,5,17,16,10
1992,HR,1,1,2,2,1
1992,HU,4,3,5,4,4
1992,IE,4,4,4,4,4
1992,IN,2,2,2,2,2
1992,IT,109,67,128,86,57
1992,JP,550,440,786,318,115
1992,KR,8,1,10,6,3
1992,LU,3,1,3,3,2
1992,MX,1,1,1,1,1
1992,NL,89,60,117,61,58
1992,NO,15,13,24,16,21
1992,PL,2,2,3,2,3
1992,PT,1,1,3,1,3
1992,RU,4,2,13,12,5
1992,SE,66,54,91,57,40
1992,TW,6,2,8,5,8
1992,US,939,558,1227,517,166
1992,ZA,4,3,4,4,4
1993,AT,61,45,94,54,41
1993,AU,44,29,69,37,37
1993,BE,23,18,26,19,19
1993,BR,3,2,3,3,3
1993,CA,58,39,94,49,40
1993,CH,123,95,195,110,78
1993,CN,3,1,4,3,3
1993,DE,656,483,903,445,151
1993,DK,18,10,21,16,16
1993,ES,14,7,26,12,19
1993,FI,43,38,56,39,31
1993,FR,247,184,362,179,105
1993,GB,185,134,240,128,77
1993,HR,1,0,2,1,2
1993,HU,3,3,12,2,11
1993,IE,4,3,4,4,3
1993,IT,83,55,107,79,51
1993,JP,602,479,940,334,125
1993,KR,11,7,19,14,9
1993,LU,2,2,2,2,1
1993,NL,99,72,140,65,55
1993,NO,12,10,15,13,10
1993,PL,2,1,3,3,2
1993,PT,1,1,1,1,1
1993,RU,11,9,12,7,7
1993,SE,47,40,78,42,55
