year,country,n_applications_all,n_granted_all,n_applications_ep,n_granted_ep,n_auth
2010,AT,1305,704,171,102,39
2010,BE,1116,545,200,113,46
2010,BG,24,12,2,1,5
2010,CY,27,12,5,2,6
2010,CZ,196,139,12,7,17
2010,DE,18575,7998,2981,1747,59
2010,DK,1642,949,290,211,38
2010,EE,24,11,5,1,6
2010,ES,1634,919,229,95,47
2010,FI,1177,680,188,113,42
2010,FR,7160,4365,1097,715,63
2010,GR,142,77,9,4,12
2010,HR,44,14,5,1,16
2010,HU,169,60,12,7,22
2010,IE,337,181,51,32,35
2010,IT,2026,1236,363,226,45
2010,LT,19,14,1,1,3
2010,LU,346,195,56,31,35
2010,LV,45,27,6,2,14
2010,MT,21,14,2,1,17
2010,NL,2492,1255,445,231,43
2010,PL,388,208,22,12,22
2010,PT,106,48,9,2,17
2010,RO,149,75,5,3,12
2010,SE,1499,846,261,167,41
2010,SI,45,22,8,5,8
2010,SK,55,39,2,1,6
2011,AT,1388,800,198,132,42
2011,BE,1306,641,203,113,44
2011,BG,45,22,2,1,6
2011,CY,20,10,3,2,8
2011,CZ,285,192,13,7,29
2011,DE,19793,8820,3305,2038,60
2011,DK,1707,977,320,237,39
2011,EE,47,25,10,6,11
2011,ES,1577,904,193,92,43
2011,FI,1305,735,233,135,37
2011,FR,7217,4307,1085,688,59
2011,GR,140,73,6,4,15
2011,HR,27,9,3,2,6
2011,HU,195,72,16,7,30
2011,IE,345,202,54,31,33
2011,IT,1570,860,335,208,48
2011,LT,14,7,3,1,4
2011,LU,362,193,58,30,34
2011,LV,12,11,0,0,3
2011,MT,33,20,3,2,25
2011,NL,2075,1077,393,224,50
2011,PL,442,202,31,9,19
2011,PT,128,58,19,11,18
2011,RO,160,72,4,3,5
2011,SE,1810,939,372,243,41
2011,SI,30,12,5,3,5
2011,SK,68,36,3,1,8
2012,AT,1594,929,237,153,45
2012,BE,1301,672,237,132,44
2012,BG,52,31,5,2,8
2012,CY,16,6,5,0,9
2012,CZ,310,217,20,6,33
2012,DE,19637,8800,3229,2107,58
2012,DK,1906,1082,355,240,40
2012,EE,17,11,1,1,11
2012,ES,1411,837,175,100,44
2012,FI,1250,682,212,130,41
2012,FR,7974,4838,1250,881,48
2012,GR,118,56,11,5,17
2012,HR,26,6,2,0,6
2012,HU,192,89,19,11,24
2012,IE,324,178,45,22,29
2012,IT,1796,965,383,250,47
2012,LT,19,12,2,2,5
2012,LU,367,191,57,41,52
