country,vuln_twin_cos2,pot_twin_cos2,vuln_flat_cos2,pot_flat_cos2
Austria,96,94,90,95
Belgium,99,15,89,11
Bulgaria,100,21,99,20
Croatia,70,44,70,27
Cyprus,15,100,6,100
Czechia,100,80,98,38
Denmark,86,86,71,28
Estonia,97,58,90,47
Finland,2,57,0,4
France,100,86,40,83
Germany,98,90,79,92
Greece,48,94,40,95
Hungary,82,3,81,10
Ireland,90,100,64,94
Italy,100,97,84,78
Latvia,76,100,56,74
Lithuania,100,90,87,37
Luxembourg,97,98,86,6
Malta,93,97,48,92
Netherlands,97,7,43,12
Poland,99,99,77,44
Portugal,98,1,92,9
Romania,97,3,95,11
Slovakia,74,96,49,76
Slovenia,26,45,12,1
Spain,100,58,98,36
Sweden,90,44,19,27
