iso3,country,final_energy_gwh,households_pct,business_pct,industry_pct,services_pct,agri_pct,transport_pct
HRV,Croatia,77974.0956,34.8,33,17.4,12.2,3.3,31.9
EST,Estonia,32649.4252,33.8,36.8,15.7,17.1,4,29.3
ROU,Romania,276537.5086,33.7,38,27.8,8,2.3,27.2
HUN,Hungary,209555.8838,33.5,40,24.8,11.5,3.7,26.3
DNK,Denmark,160167.8712,32.1,35.2,16.9,14,4.2,31.5
LVA,Latvia,45593.0976,30.3,41.8,22,14.9,4.9,27.6
FRA,France,1616677.8196,29.9,37.6,19.7,14.8,3.1,31.9
POL,Poland,833827.6818,29.8,39,22.6,11.1,5.4,31.2
CZE,Czechia,283599.455,29.7,42.9,27.6,12.7,2.6,27.2
DEU,Germany,2320576.6158,28.7,44.2,28.1,14.5,1.6,27
ITA,Italy,1297916.367,28.6,40.7,22.3,15.9,2.5,30.4
GRC,Greece,175890.6494,27.7,33,17.4,13.7,1.9,37.6
LTU,Lithuania,63063.0844,27.6,33.6,20,11.6,2.1,38.6
AUT,Austria,302863.5242,26.9,40.7,28.8,9.9,2.1,32.3
IRL,Ireland,128628.878,26.6,37.7,20.4,15.1,2.1,35.6
SVK,Slovakia,119326.0548,26.6,47.3,33.3,12.6,1.3,26.1
BEL,Belgium,379065.0594,24.2,49.2,32.8,13.8,2.6,26.3
SWE,Sweden,366535.026,23.9,49.5,34.7,13,1.9,22.1
BGR,Bulgaria,113714.8882,23.5,42.2,27.9,12.3,1.9,34.3
SVN,Slovenia,55922.9846,23.3,37.9,27,9.3,1.5,38.3
FIN,Finland,285124.6458,23.1,59.1,43.8,12.2,3.1,16.7
CYP,Cyprus,18306.4786,22.3,34.2,15,16.4,2.8,42.4
NLD,Netherlands,508415.507,21.8,55.3,30.8,15.6,8.9,22.4
MLT,Malta,5999.3158,19.5,36.9,12.1,22.9,1.9,42.5
ESP,Spain,924110.9794,18.4,42.3,26.3,12.7,3.3,38.7
PRT,Portugal,184537.0774,18.4,45.4,28.6,14.4,2.5,35.4
LUX,Luxembourg,41514.0828,13.9,32,17.4,13.9,0.7,54.1
