country,group,applications_all,applications_epo,ep_share_pct,per_million_all,per_million_epo
Austria,Core,5674,1200,21.1,639.1,135.2
Belgium,Core,4970,1005,20.2,432.8,87.5
Bulgaria,Workbench,220,20,9.1,31.5,2.9
Cyprus,Periphery,79,11,13.9,61.4,8.6
Czechia,Workbench,1194,102,8.5,112.4,9.6
Germany,Core,74981,13338,17.8,903.4,160.7
Denmark,Core,9323,2551,27.4,1604,438.9
Spain,Periphery,5447,1065,19.6,115.7,22.6
Estonia,Workbench,133,24,18,100.4,18.1
Finland,Core,4968,899,18.1,899.5,162.8
France,Periphery,30273,6011,19.9,449.3,89.2
Greece,Periphery,365,50,13.7,34.1,4.7
Croatia,Workbench,150,19,12.7,37.9,4.8
Hungary,Workbench,549,58,10.6,56.3,5.9
Ireland,Finance,1681,272,16.2,341.3,55.2
Italy,Periphery,8299,1764,21.3,138.7,29.5
Lithuania,Workbench,71,14,19.7,25.3,5
Luxembourg,Finance,1016,159,15.6,1641.5,256.9
Latvia,Workbench,101,15,14.9,52.8,7.8
Malta,Finance,116,25,21.6,232.9,50.2
Netherlands,Finance,9608,2155,22.4,554.2,124.3
Poland,Workbench,2192,191,8.7,58.1,5.1
Portugal,Periphery,574,114,19.9,55.7,11.1
Romania,Workbench,507,20,3.9,26.2,1
Slovakia,Workbench,341,31,9.1,62.6,5.7
Slovenia,Workbench,185,48,25.9,88.6,23
Sweden,Core,8702,1951,22.4,848.5,190.2
